item_id,doi,wos_id,scopus_id,openalex_id,s2_id,pubmed_id,dimensions_id,publication_year,source,title,username,incl|1,incl|0,reason|0,reason|1,reason|2
00012e1e-f181-4d82-a555-03c9bb801a84,10.1016/j.biotechadv.2016.07.004,,,W2494710035,,https://pubmed.ncbi.nlm.nih.gov/27460206,,2016,Biotechnology Advances,,coder_000,0,1,,,
00012e1e-f181-4d82-a555-03c9bb801a84,10.1016/j.biotechadv.2016.07.004,,,W2494710035,,https://pubmed.ncbi.nlm.nih.gov/27460206,,2016,Biotechnology Advances,,coder_001,0,1,,,
00012e1e-f181-4d82-a555-03c9bb801a84,10.1016/j.biotechadv.2016.07.004,,,W2494710035,,https://pubmed.ncbi.nlm.nih.gov/27460206,,2016,Biotechnology Advances,,coder_002,0,1,,,
000e4213-f125-44dc-9407-371ff605b596,,,,W2595036486,,,,2010,UNM’s Digital Repository (University of New Mexico),Energy and water resources scarcity: Critical infrastructure for growth and economic development in Arizona and Sonora,coder_004,1,0,,,
000e4213-f125-44dc-9407-371ff605b596,,,,W2595036486,,,,2010,UNM’s Digital Repository (University of New Mexico),Energy and water resources scarcity: Critical infrastructure for growth and economic development in Arizona and Sonora,coder_001,1,0,1,0,0
000e4213-f125-44dc-9407-371ff605b596,,,,W2595036486,,,,2010,UNM’s Digital Repository (University of New Mexico),Energy and water resources scarcity: Critical infrastructure for growth and economic development in Arizona and Sonora,coder_002,0,1,,,
001226e2-cd91-41f1-9a00-629d0bdc0f38,10.1063/5.0151378,,,W4388857969,,,,2023,AIP conference proceedings,"In silico analysis of regulatory elements of drought stress inducible promoters to improve plant resilience in Panicum Sp., a potential bioenergy crop",coder_000,0,1,,,
001226e2-cd91-41f1-9a00-629d0bdc0f38,10.1063/5.0151378,,,W4388857969,,,,2023,AIP conference proceedings,"In silico analysis of regulatory elements of drought stress inducible promoters to improve plant resilience in Panicum Sp., a potential bioenergy crop",coder_004,0,1,,,
001226e2-cd91-41f1-9a00-629d0bdc0f38,10.1063/5.0151378,,,W4388857969,,,,2023,AIP conference proceedings,"In silico analysis of regulatory elements of drought stress inducible promoters to improve plant resilience in Panicum Sp., a potential bioenergy crop",coder_005,1,0,,,
00125046-4b0b-4ecd-bcde-92e410e0d56b,10.4324/9781003204886-38,,,W4387311753,,,,2023,,Selected List of Theatre-Fiction,coder_000,0,1,,,
00125046-4b0b-4ecd-bcde-92e410e0d56b,10.4324/9781003204886-38,,,W4387311753,,,,2023,,Selected List of Theatre-Fiction,coder_004,0,1,,,
00125046-4b0b-4ecd-bcde-92e410e0d56b,10.4324/9781003204886-38,,,W4387311753,,,,2023,,Selected List of Theatre-Fiction,coder_005,0,1,,,
001370aa-ccdf-4999-b086-863f9aa3243e,10.1007/978-3-031-39090-6_4,,,W4393324341,,,,2024,Lecture notes in mechanical engineering,Study on Numerical Simulation of Butt-Welded Heavy Thickness Plate of Steel in PAW-GMAW Hybrid Welding Process with Modified Heat Source Model,coder_004,0,1,,,
001370aa-ccdf-4999-b086-863f9aa3243e,10.1007/978-3-031-39090-6_4,,,W4393324341,,,,2024,Lecture notes in mechanical engineering,Study on Numerical Simulation of Butt-Welded Heavy Thickness Plate of Steel in PAW-GMAW Hybrid Welding Process with Modified Heat Source Model,coder_001,0,1,,,
