column,selected,seen,scheme_name,label_key,value,concept_uri,pref_label,broader_uri,depth,n_children,is_leaf
k_methods|0,15,22,Methods,k_methods,0,https://vocab.destiny-evidence.org/methods/DSNY000167,1. Primary research,,1,9,False
k_population-gender-sex|0,12,12,Population - Gender/sex,k_population-gender-sex,0,https://vocab.destiny-evidence.org/population-gender-sex/DSNY000244,All genders,,1,0,True
k_interventions-responses-solutions|5,12,18,Interventions / responses / solutions,k_interventions-responses-solutions,5,https://vocab.destiny-evidence.org/interventions-responses-solutions/DSNY000093,Technology / infrastructure,,1,3,False
k_topic|0,12,22,Topic,k_topic,0,https://vocab.destiny-evidence.org/topic/DSNY000052,Adaptation,,1,3,False
k_topic|1,11,22,Topic,k_topic,1,https://vocab.destiny-evidence.org/topic/DSNY000053,Impact,,1,3,False
k_population-age|0,10,12,Population - Age,k_population-age,0,https://vocab.destiny-evidence.org/population-age/DSNY000248,1. All ages,,1,0,True
k_interventions-responses-solutions_sub_e|0,9,12,Interventions / responses / solutions,k_interventions-responses-solutions_sub_e,0,https://vocab.destiny-evidence.org/interventions-responses-solutions/DSNY000095,Adaptation technologies / infractstructure,https://vocab.destiny-evidence.org/interventions-responses-solutions/DSNY000093,2,6,False
k_topic_sub|2,9,11,Topic,k_topic_sub,2,https://vocab.destiny-evidence.org/topic/DSNY000638,Resilience,https://vocab.destiny-evidence.org/topic/DSNY000052,2,0,True
k_methods_sub|4,8,15,Methods,k_methods_sub,4,https://vocab.destiny-evidence.org/methods/DSNY000545,Modelling / simulation,https://vocab.destiny-evidence.org/methods/DSNY000167,2,5,False
k_methods|1,7,22,Methods,k_methods,1,https://vocab.destiny-evidence.org/methods/DSNY000198,2. Evidence synthesis,,1,6,False
k_sectors|0,7,11,Sectors,k_sectors,0,https://vocab.destiny-evidence.org/sectors/DSNY000115,"Agriculture, fishing, and forestry (Sector)",,1,0,True
k_interventions-responses-solutions_sub_e_sub|3,7,8,Interventions / responses / solutions,k_interventions-responses-solutions_sub_e_sub,3,https://vocab.destiny-evidence.org/interventions-responses-solutions/DSNY000566,Digital / data-based technology / infrastructure,https://vocab.destiny-evidence.org/interventions-responses-solutions/DSNY000095,3,0,True
k_methods_sub_sub_c|3,7,7,Methods,k_methods_sub_sub_c,3,https://vocab.destiny-evidence.org/methods/DSNY000549,Other climate-related modelling / simulation,https://vocab.destiny-evidence.org/methods/DSNY000545,3,0,True
k_health-exposure|1,6,19,Health - Exposure,k_health-exposure,1,https://vocab.destiny-evidence.org/health-exposure/DSNY000265,Extreme weather events (Exposure),,1,0,True
k_human-settlements|0,5,8,Human settlements,k_human-settlements,0,https://vocab.destiny-evidence.org/human-settlements/DSNY000505,1. Formal urban settlements,,1,4,False
k_actors|1,5,8,Actors,k_actors,1,https://vocab.destiny-evidence.org/actors/DSNY000163,2. Governments (Actor),,1,0,True
k_health-exposure|0,5,19,Health - Exposure,k_health-exposure,0,https://vocab.destiny-evidence.org/health-exposure/DSNY000262,Air quality (Exposure),,1,0,True
k_climate-factors-climate-forcing-agents|6,5,7,Climate factors - Climate forcing agents,k_climate-factors-climate-forcing-agents,6,https://vocab.destiny-evidence.org/climate-factors-climate-forcing-agents/DSNY000613,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,,1,0,True
k_methods_sub|2,5,15,Methods,k_methods_sub,2,https://vocab.destiny-evidence.org/methods/DSNY000515,Descriptive / single-group designs,https://vocab.destiny-evidence.org/methods/DSNY000167,2,3,False
k_health-exposure|2,5,19,Health - Exposure,k_health-exposure,2,https://vocab.destiny-evidence.org/health-exposure/DSNY000263,Food supply and safety (Exposure),,1,0,True
k_topic|2,5,22,Topic,k_topic,2,https://vocab.destiny-evidence.org/topic/DSNY000051,Mitigation,,1,1,False
k_interventions-responses-solutions|3,5,18,Interventions / responses / solutions,k_interventions-responses-solutions,3,https://vocab.destiny-evidence.org/interventions-responses-solutions/DSNY000114,Institutional,,1,5,False
k_topic_sub|1,4,11,Topic,k_topic_sub,1,https://vocab.destiny-evidence.org/topic/DSNY000639,Preparedness,https://vocab.destiny-evidence.org/topic/DSNY000052,2,0,True
k_climate-factors-extreme-weather-events|7,4,10,Climate factors - Extreme weather events,k_climate-factors-extreme-weather-events,7,https://vocab.destiny-evidence.org/climate-factors-extreme-weather-events/DSNY000609,Storms and severe wind,,1,0,True
k_climate-factors-climate-drivers-variability|8,4,11,Climate factors - Climate drivers / variability,k_climate-factors-climate-drivers-variability,8,https://vocab.destiny-evidence.org/climate-factors-climate-drivers-variability/DSNY000602,Changes in temperature,,1,0,True
