model,frac,n_train,seed,AveragePrecision,ROC_AUC
climatebert,0.25,750,0,0.4956265486579201,0.8631246736943375
climatebert,0.25,750,1,0.5495214754279341,0.8964914441921992
climatebert,0.25,750,2,0.5382495743425882,0.8903436988543371
climatebert,0.25,750,3,0.4568309812758029,0.867055007068734
climatebert,0.25,750,4,0.5282725122896427,0.8886425097818371
climatebert,0.5,1500,0,0.6701251891380431,0.9375898257161126
climatebert,0.5,1500,1,0.6612908923399436,0.9287495087083282
climatebert,0.5,1500,2,0.671757970771508,0.9352198933530437
climatebert,0.5,1500,3,0.6598734452829919,0.9286087206471559
climatebert,0.5,1500,4,0.6942650831048227,0.9377834093002246
climatebert,0.75,2249,0,0.7026649135889318,0.9469522317840781
climatebert,0.75,2249,1,0.686273962836222,0.9449811989276644
climatebert,0.75,2249,2,0.6932483630705152,0.9432008165707548
climatebert,0.75,2249,3,0.7174659160805773,0.9440866081222979
climatebert,0.75,2249,4,0.7279988323617765,0.9530941109527246
climatebert,0.9,2699,0,0.6998753014446161,0.9458024626178366
climatebert,0.9,2699,1,0.7170134978768905,0.9498999818148754
climatebert,0.9,2699,2,0.713717856764708,0.9517214273562936
climatebert,0.9,2699,3,0.71259237405109,0.9469874287993711
climatebert,0.9,2699,4,0.7103199142760798,0.9513518586957158
climatebert,1.0,2999,0,0.7428939979725508,0.9555461696848107
climatebert,1.0,2999,1,0.7421965921892973,0.9561210542679314
climatebert,1.0,2999,2,0.745026389714889,0.9559157383453883
climatebert,1.0,2999,3,0.7394903551726155,0.9555285711771642
climatebert,1.0,2999,4,0.7430794103294207,0.9557192216766686
