model,frac,n_train,seed,AveragePrecision,ROC_AUC
iso_forest,0.25,750,0,0.10444444444444445,0.5
iso_forest,0.25,750,1,0.10444444444444445,0.5
iso_forest,0.25,750,2,0.10444444444444445,0.5
iso_forest,0.25,750,3,0.10444444444444445,0.5
iso_forest,0.25,750,4,0.10444444444444445,0.5
iso_forest,0.5,1500,0,0.10444444444444445,0.5
iso_forest,0.5,1500,1,0.10444444444444445,0.5
iso_forest,0.5,1500,2,0.10444444444444445,0.5
iso_forest,0.5,1500,3,0.10444444444444445,0.5
iso_forest,0.5,1500,4,0.10444444444444445,0.5
iso_forest,0.75,2249,0,0.10444444444444445,0.5
iso_forest,0.75,2249,1,0.10444444444444445,0.5
iso_forest,0.75,2249,2,0.10444444444444445,0.5
iso_forest,0.75,2249,3,0.10444444444444445,0.5
iso_forest,0.75,2249,4,0.10444444444444445,0.5
iso_forest,0.9,2699,0,0.10444444444444445,0.5
iso_forest,0.9,2699,1,0.10444444444444445,0.5
iso_forest,0.9,2699,2,0.10444444444444445,0.5
iso_forest,0.9,2699,3,0.10444444444444445,0.5
iso_forest,0.9,2699,4,0.10444444444444445,0.5
iso_forest,1.0,2999,0,0.10444444444444445,0.5
iso_forest,1.0,2999,1,0.10444444444444445,0.5
iso_forest,1.0,2999,2,0.10444444444444445,0.5
iso_forest,1.0,2999,3,0.10444444444444445,0.5
iso_forest,1.0,2999,4,0.10444444444444445,0.5
