model,frac,n_train,seed,AveragePrecision,ROC_AUC
lgbm,0.25,750,0,0.4381340808470801,0.8240090573652687
lgbm,0.25,750,1,0.44571086852303476,0.839132041602872
lgbm,0.25,750,2,0.44936857588501244,0.8196974229918635
lgbm,0.25,750,3,0.45811859593282134,0.8213047533569153
lgbm,0.25,750,4,0.4751253344090194,0.8245839419483895
lgbm,0.5,1500,0,0.4922908494470798,0.862496993588277
lgbm,0.5,1500,1,0.5173774816704754,0.874915673817527
lgbm,0.5,1500,2,0.47916521677632684,0.8405223237069496
lgbm,0.5,1500,3,0.48761379704226177,0.8555631815755358
lgbm,0.5,1500,4,0.5490729652756695,0.8714077046266475
lgbm,0.75,2249,0,0.5941114120236132,0.8971073919598285
lgbm,0.75,2249,1,0.6173297429940583,0.883890912717268
lgbm,0.75,2249,2,0.5939633350957915,0.9007678815503112
lgbm,0.75,2249,3,0.6187632384867676,0.8941332441675612
lgbm,0.75,2249,4,0.604443617759587,0.8915579958819492
lgbm,0.9,2699,0,0.6296216681056516,0.9124650229660525
lgbm,0.9,2699,1,0.6352556608388576,0.9106993060321817
lgbm,0.9,2699,2,0.6195171290930527,0.9123770304278197
lgbm,0.9,2699,3,0.6188432461919904,0.8987792501862508
lgbm,0.9,2699,4,0.6134810103219505,0.9053317611999837
lgbm,1.0,2999,0,0.6428339105355396,0.914999208067156
lgbm,1.0,2999,1,0.6357854180812361,0.9120309264441041
lgbm,1.0,2999,2,0.6442946097761778,0.9167649250010266
lgbm,1.0,2999,3,0.644344314475006,0.9113563169843197
lgbm,1.0,2999,4,0.6433946757882836,0.9128815209803541
