model,frac,n_train,seed,AveragePrecision,ROC_AUC
logreg,0.25,750,0,0.5702860913540025,0.9073555895793372
logreg,0.25,750,1,0.5689823143609255,0.887686324199708
logreg,0.25,750,2,0.5728117939241764,0.8938516680452164
logreg,0.25,750,3,0.5345437407281963,0.8902146431315959
logreg,0.25,750,4,0.5020663059761237,0.8757838668614235
logreg,0.5,1500,0,0.5740735397098469,0.902228557684975
logreg,0.5,1500,1,0.5948651618329468,0.8984800755562595
logreg,0.5,1500,2,0.6043920576828277,0.900357249705225
logreg,0.5,1500,3,0.6078165044585627,0.9024104089306559
logreg,0.5,1500,4,0.5887481447192622,0.907830749285794
logreg,0.75,2249,0,0.6223855750854635,0.9167531926625956
logreg,0.75,2249,1,0.6128972360979439,0.9083000428230354
logreg,0.75,2249,2,0.6140538912199844,0.9067396418117076
logreg,0.75,2249,3,0.6166564674488477,0.900151933782682
logreg,0.75,2249,4,0.6256988913549415,0.913796643377975
logreg,0.9,2699,0,0.6319488850841593,0.9132745543177938
logreg,0.9,2699,1,0.6340478860668957,0.9174571329684577
logreg,0.9,2699,2,0.6277091308007838,0.9167649250010266
logreg,0.9,2699,3,0.6177574434404822,0.9131220339181905
logreg,0.9,2699,4,0.6252750743896209,0.9158498026034059
logreg,1.0,2999,0,0.6268893683835561,0.9158028732496818
logreg,1.0,2999,1,0.6326188247618479,0.9161313787257508
logreg,1.0,2999,2,0.6270578796511952,0.9164188210173111
logreg,1.0,2999,3,0.6265647878238465,0.9160316538490869
logreg,1.0,2999,4,0.63063119854013,0.9155682264810612
