model,frac,n_train,seed,AveragePrecision,ROC_AUC
nb,0.25,750,0,0.4849779127963576,0.8711085299966563
nb,0.25,750,1,0.4682406173259583,0.8456728202781737
nb,0.25,750,2,0.48611845408774346,0.8379353430829065
nb,0.25,750,3,0.4052035343762614,0.8346033589684927
nb,0.25,750,4,0.44424663966798894,0.8100065114478292
nb,0.5,1500,0,0.5250251036860156,0.873578187236389
nb,0.5,1500,1,0.5668422477350817,0.8753556365086906
nb,0.5,1500,2,0.5220418339298211,0.8706040394441219
nb,0.5,1500,3,0.5793455624701316,0.8805295977567769
nb,0.5,1500,4,0.5565554784575388,0.8840199684400094
nb,0.75,2249,0,0.5873303110786464,0.889422710287501
nb,0.75,2249,1,0.5737423191878712,0.8884841232130183
nb,0.75,2249,2,0.5969665855953474,0.8845772545154836
nb,0.75,2249,3,0.6015858306171283,0.8848646968070439
nb,0.75,2249,4,0.5865113178572151,0.8882377441059666
nb,0.9,2699,0,0.6063616794245238,0.8919510292193888
nb,0.9,2699,1,0.6054144626619699,0.8888126286890872
nb,0.9,2699,2,0.61526920316896,0.8904258252233543
nb,0.9,2699,3,0.5911135491322211,0.8833101619649321
nb,0.9,2699,4,0.5873125027352278,0.8858032838815268
nb,1.0,2999,0,0.5968342587691347,0.887281558523837
nb,1.0,2999,1,0.6269368455754984,0.8971425889751216
nb,1.0,2999,2,0.5981785544652661,0.8871290381242336
nb,1.0,2999,3,0.6025205299942715,0.8925845754946646
nb,1.0,2999,4,0.5799854038629655,0.8880441605218543
