model,frac,n_train,seed,AveragePrecision,ROC_AUC
rand_forest,0.25,750,0,0.5013613822344666,0.8838146525174666
rand_forest,0.25,750,1,0.4890712243697378,0.8529527362746305
rand_forest,0.25,750,2,0.45389763736105293,0.8395485396171738
rand_forest,0.25,750,3,0.5091180858438002,0.8530847250819797
rand_forest,0.25,750,4,0.5192603536224026,0.8634971754395228
rand_forest,0.5,1500,0,0.5115731125836518,0.881171943285876
rand_forest,0.5,1500,1,0.6375951236469679,0.9157060814576257
rand_forest,0.5,1500,2,0.53847605861677,0.8833658905724794
rand_forest,0.5,1500,3,0.5924559088076403,0.9034487208818025
rand_forest,0.5,1500,4,0.5842602301646127,0.8935994227689493
rand_forest,0.75,2249,0,0.6067151300042135,0.910332670456212
rand_forest,0.75,2249,1,0.6013591881175558,0.906771905742393
rand_forest,0.75,2249,2,0.6079477640151205,0.9155242302119447
rand_forest,0.75,2249,3,0.5690254764712459,0.8991194880007508
rand_forest,0.75,2249,4,0.594632924338102,0.9146355055757938
rand_forest,0.9,2699,0,0.6318117277824927,0.9175245939144361
rand_forest,0.9,2699,1,0.6165225597052072,0.9062556828514275
rand_forest,0.9,2699,2,0.6330141774302043,0.9206629944447378
rand_forest,0.9,2699,3,0.6088420019156758,0.9164422856941732
rand_forest,0.9,2699,4,0.6043854356715088,0.9061266271286861
rand_forest,1.0,2999,0,0.6516953313910079,0.9211997489279575
rand_forest,1.0,2999,1,0.6376930249041105,0.9167355941549491
rand_forest,1.0,2999,2,0.5870301101244454,0.9086666783990051
rand_forest,1.0,2999,3,0.6031426288709437,0.9129108518264318
rand_forest,1.0,2999,4,0.6276199022071444,0.9164158879327033
