model,frac,n_train,seed,AveragePrecision,ROC_AUC
scibert,0.25,750,0,0.609210251533537,0.8986179305328241
scibert,0.25,750,1,0.4900639820776511,0.8853721204441862
scibert,0.25,750,2,0.4407828294462381,0.8819814746376174
scibert,0.25,750,3,0.4807191523482758,0.8866538784177768
scibert,0.25,750,4,0.43992277762899706,0.853993981310385
scibert,0.5,1500,0,0.6151873887131811,0.9356921199748928
scibert,0.5,1500,1,0.6568762559642656,0.93849614885991
scibert,0.5,1500,2,0.6099507850599403,0.9241973613970869
scibert,0.5,1500,3,0.6473556552901406,0.9405522411699487
scibert,0.5,1500,4,0.6625985125159598,0.9328616933284058
scibert,0.75,2249,0,0.6186455776778483,0.9343487672245393
scibert,0.75,2249,1,0.6501146587503012,0.9472983357677935
scibert,0.75,2249,2,0.5983552229861478,0.9416726794901126
scibert,0.75,2249,3,0.689532665281539,0.9530941109527246
scibert,0.75,2249,4,0.6498595346423668,0.944887340220216
scibert,0.9,2699,0,0.6396317897366927,0.9366571048108452
scibert,0.9,2699,1,0.6551863514638993,0.9380855170148238
scibert,0.9,2699,2,0.6144306764367394,0.9423766197959746
scibert,0.9,2699,3,0.6436321928044174,0.9490171233479401
scibert,0.9,2699,4,0.6313708343772232,0.9302043186737765
scibert,1.0,2999,0,0.668593858539873,0.9515131783491426
scibert,1.0,2999,1,0.6520683071200141,0.9485390305568755
scibert,1.0,2999,2,0.6550359091136229,0.9486123576720693
scibert,1.0,2999,3,0.6183803112378767,0.9506361860514229
scibert,1.0,2999,4,0.6654385214943453,0.9500788999759487
