model,frac,n_train,seed,AveragePrecision,ROC_AUC
scincl,0.25,750,0,0.6157770485358078,0.9270717843126902
scincl,0.25,750,1,0.6008320496611677,0.9195044260246731
scincl,0.25,750,2,0.6408744576756014,0.9238219265672937
scincl,0.25,750,3,0.6174731138531527,0.9205779349911128
scincl,0.25,750,4,0.6140006492971175,0.9243968111504145
scincl,0.5,1500,0,0.6510527346690957,0.9286585830854877
scincl,0.5,1500,1,0.6295843783274675,0.9294886460294833
scincl,0.5,1500,2,0.6142319082286413,0.9187594225343023
scincl,0.5,1500,3,0.6486838959625513,0.9249394318028497
scincl,0.5,1500,4,0.677047237378531,0.9260569370384059
scincl,0.75,2249,0,0.6221880977182447,0.9300078020050566
scincl,0.75,2249,1,0.6293514882624697,0.9371498630249487
scincl,0.75,2249,2,0.7054223683865762,0.9407634232617074
scincl,0.75,2249,3,0.6754104510508967,0.9424822108418539
scincl,0.75,2249,4,0.6617211782498392,0.9456704738104875
scincl,0.9,2699,0,0.633403374148775,0.9298230176747678
scincl,0.9,2699,1,0.6706476660428531,0.9318409798849058
scincl,0.9,2699,2,0.6385522301826154,0.9345188861317895
scincl,0.9,2699,3,0.6175140732856532,0.9341757152326816
scincl,0.9,2699,4,0.6867399900843058,0.926200658184186
scincl,1.0,2999,0,0.6589433224382684,0.9308261326106213
scincl,1.0,2999,1,0.6497545405811775,0.930793868679936
scincl,1.0,2999,2,0.6589110980551761,0.931911373915492
scincl,1.0,2999,3,0.6696367311864201,0.9334307117423108
scincl,1.0,2999,4,0.6454073449116731,0.9313658201784488
