model,frac,n_train,seed,AveragePrecision,ROC_AUC
sgd,0.25,750,0,0.5392323071108605,0.8919510292193888
sgd,0.25,750,1,0.5554034281278896,0.8842722137162768
sgd,0.25,750,2,0.559899552245628,0.8861259231883802
sgd,0.25,750,3,0.5387172290080848,0.8867184062791476
sgd,0.25,750,4,0.476675458094274,0.8663041374091476
sgd,0.5,1500,0,0.5622276338758552,0.8983451536643026
sgd,0.5,1500,1,0.583588316556367,0.897101525790613
sgd,0.5,1500,2,0.5961067820491779,0.8975121576356991
sgd,0.5,1500,3,0.5951652705125745,0.9039766761111991
sgd,0.5,1500,4,0.5849384301479231,0.9070681472877766
sgd,0.75,2249,0,0.6125200191700226,0.9209709683285524
sgd,0.75,2249,1,0.6144952000112006,0.9123828965970352
sgd,0.75,2249,2,0.5965415252294581,0.9090861094979146
sgd,0.75,2249,3,0.6160880344312023,0.9040294716341387
sgd,0.75,2249,4,0.6043893555196,0.9157500777267422
sgd,0.9,2699,0,0.6264397610944239,0.9176448503833542
sgd,0.9,2699,1,0.6200093332833935,0.9209475036516903
sgd,0.9,2699,2,0.6138253562511112,0.9191876528870353
sgd,0.9,2699,3,0.6209287355107073,0.9162135050947681
sgd,0.9,2699,4,0.618377756598375,0.9183135936739232
sgd,1.0,2999,0,0.6216238854613091,0.919492693686242
sgd,1.0,2999,1,0.6280213026157812,0.9185599727809748
sgd,1.0,2999,2,0.6254327168957025,0.9191289911948801
sgd,1.0,2999,3,0.6159563836637563,0.9154919662812594
sgd,1.0,2999,4,0.6256880147281472,0.9203256897148455
