model,frac,n_train,seed,AveragePrecision,ROC_AUC
svm,0.25,750,0,0.4474849584564664,0.8498026034058979
svm,0.25,750,1,0.46427293738456177,0.8437897799599927
svm,0.25,750,2,0.4192340037817425,0.7956050660237346
svm,0.25,750,3,0.411195240965228,0.8280801788008377
svm,0.25,750,4,0.37977200579412773,0.7840604450075965
svm,0.5,1500,0,0.5041388164077207,0.8825651584745614
svm,0.5,1500,1,0.5651070434188149,0.8909772451296128
svm,0.5,1500,2,0.5570790304816899,0.8679114677741995
svm,0.5,1500,3,0.5550170991336285,0.8741002762965701
svm,0.5,1500,4,0.5330218088814767,0.8750095325249752
svm,0.75,2249,0,0.5940174472745482,0.9037478955117939
svm,0.75,2249,1,0.5937142302038765,0.8999466178601387
svm,0.75,2249,2,0.5720883606819297,0.8969783362370871
svm,0.75,2249,3,0.5931430092702842,0.8923792595721216
svm,0.75,2249,4,0.5990136071854215,0.9029324979908371
svm,0.9,2699,0,0.6110912018687197,0.9036188397890526
svm,0.9,2699,1,0.5999774403002869,0.9015304835483284
svm,0.9,2699,2,0.5864974515007475,0.9037772263578715
svm,0.9,2699,3,0.604212345839861,0.9082472473000957
svm,0.9,2699,4,0.6260596696828374,0.9090039831288974
svm,1.0,2999,0,0.6197049716913502,0.912822859288199
svm,1.0,2999,1,0.6344614177147685,0.9177035120755094
svm,1.0,2999,2,0.5926096514165438,0.9079715373469663
svm,1.0,2999,3,0.6033079999006873,0.9149112155289232
svm,1.0,2999,4,0.6207339613540146,0.9115323020607853
