model,frac,n_train,seed,AveragePrecision,ROC_AUC
t5-small,0.25,750,0,0.31479956685499993,0.6943491191946923
t5-small,0.25,750,1,0.41888244971962285,0.8124292393338379
t5-small,0.25,750,2,0.47101668717376277,0.8516035173550617
t5-small,0.25,750,3,0.48445451112269783,0.8590007567358287
t5-small,0.25,750,4,0.5642594092074775,0.9007092198581561
t5-small,0.5,1500,0,0.6138582222968932,0.926479301221923
t5-small,0.5,1500,1,0.6119525284606601,0.924244290750811
t5-small,0.5,1500,2,0.5611976958308608,0.9126556734655568
t5-small,0.5,1500,3,0.5572946630867541,0.8895517660102422
t5-small,0.5,1500,4,0.6053585238290806,0.9329262211897764
t5-small,0.75,2249,0,0.6108925825538144,0.9332635259196687
t5-small,0.75,2249,1,0.5673345537176518,0.9153335797124403
t5-small,0.75,2249,2,0.6112912577746231,0.9289078952771472
t5-small,0.75,2249,3,0.6095784843515327,0.9229654658618284
t5-small,0.75,2249,4,0.6008912835985267,0.9319143070000997
t5-small,0.9,2699,0,0.6526817886400123,0.9387014647824531
t5-small,0.9,2699,1,0.6272759053552882,0.9380913831840393
t5-small,0.9,2699,2,0.6106475523964372,0.9396635165337979
t5-small,0.9,2699,3,0.6370539540164907,0.9346860719544317
t5-small,0.9,2699,4,0.6259338936340233,0.92386592283641
t5-small,1.0,2999,0,0.6212478829958846,0.9322428124761687
t5-small,1.0,2999,1,0.6409546971500729,0.9426171327338109
t5-small,1.0,2999,2,0.6375715059520415,0.9321372214302893
t5-small,1.0,2999,3,0.6297184420116924,0.9327297045210566
t5-small,1.0,2999,4,0.6201189337106745,0.9300869952894661
