document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record is a materials-engineering study of kenaf-fibre/polypropylene composites. It contains no explicit substantive climate-related component and no human-health outcome, health-relevant mitigation action, or qualifying adaptation connection.","The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system, to investigate the highest strength of kenaf fibre loading on mechanical properties in WPC, and to evaluate the morphology characteristics from fracture specimens related to the mechanical testing via scanning electron microscopy (SEM).",0.00,100.00,2026-08-31_20-13-26_very_high_precision_pareto_improved
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"The record substantively addresses asbestos exposure and lung-cancer risk but contains no explicit climate, weather, climate-forcing-emissions, mitigation, or adaptation component. Therefore, it does not meet the climate-and-health inclusion criteria.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-08-31_20-13-26_very_high_precision_pareto_improved
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"EXCLUDE. The abstract concerns synthetic allopolyploid yeast and biological adaptation to a novel environment. It does not explicitly address climate change, climate variables, greenhouse-gas emissions, fossil-fuel reduction, or a qualifying climate adaptation action. References to cancer and potential bioenergy applications do not establish an explicit substantive climate–health connection.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-08-31_20-13-26_very_high_precision_pareto_improved
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study develops a remote-sensing neural network for water-body extraction and addresses interference from building shadows. It contains no explicit substantive climate-related component and no explicit human-health outcome, climate-health exposure pathway, health-relevant mitigation action, or qualifying adaptation purpose.",Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images has been an important research direction in the field of water body extraction in recent years.,0.00,100.00,2026-08-31_20-13-26_very_high_precision_pareto_improved
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,0,include - high precision,True,,,,,False,False,"EXCLUDE. The article concerns electricity access, privatized urban infrastructure, and apparel manufacturing, but it does not explicitly address climate change, climate variables, fossil fuels, greenhouse-gas emissions, mitigation, adaptation, or a human-health outcome or pathway.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-08-31_20-13-26_very_high_precision_pareto_improved
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,0,include - high precision,True,,,,,False,False,"The record concerns isolation and antibacterial activity of a rabbit intestinal protein. It contains no substantive climate-related component and no explicit qualifying connection to human health, climate mitigation, or climate adaptation.",Objective To study the nature and composition of an antimicrobial protein isolated from the small intestine of rabbit.,0.00,100.00,2026-08-31_20-13-26_very_high_precision_pareto_improved
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns pipeline rupture, emergency gas loss, ignition, and industrial-accident hazards to people. It does not explicitly address climate change, greenhouse-gas mitigation, climate-related emissions, or adaptation; fossil-fuel infrastructure studied only as an accident or safety hazard does not satisfy the climate criterion.","Industrial gas pipelines are objects of high danger. In case of the gas pipeline failure, there is a shock wave, which is one of affecting factors.",0.00,100.00,2026-08-31_20-13-26_very_high_precision_pareto_improved
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,0,include - high precision,True,,,,,False,False,"EXCLUDE. The record concerns radical cation migration and DNA structure, with no explicit substantive climate-related component or qualifying human-health, mitigation, or adaptation connection.",Long-Distance Radical Cation Migration in Z-Form DNA,0.00,100.00,2026-08-31_20-13-26_very_high_precision_pareto_improved
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],0,include - high precision,True,,,,,False,False,"EXCLUDE. The study concerns shrimp feeding, growth, and aquaculture water quality. It contains no explicit substantive climate-related element and no qualifying human-health, climate-mitigation, or climate-adaptation connection.",The study aimed to evaluate the effect of the blind feeding method on the growth of vaname shrimp (Litopenaeus vannamei) and water quality.,0.00,100.00,2026-08-31_20-13-26_very_high_precision_pareto_improved
5737,0d38df7d-0763-4e73-81cf-7230ce7bea0a,In vitro antiproliferative activity of selected medicinal plants from the North-West of Morocco on several cancer cell lines,0,include - high precision,True,,,,,False,False,"EXCLUDE. The study has a substantive human-health focus through anticancer drug discovery, but its only climate reference is a descriptive mention of the region's Mediterranean climate. It does not analyze climate change, climate variability, weather exposure, mitigation, or adaptation, nor connect climate to health.",The North-West of Morocco (Ouezzane) has a Mediterranean climate and is characterized by a good ecological diversity.,0.00,100.00,2026-08-31_20-13-26_very_high_precision_pareto_improved
