document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"The document is a materials engineering study examining the mechanical and morphological properties of kenaf fibre/polypropylene composites. It contains no mention of climate change, weather variables, extreme events, fossil fuels, greenhouse gases, or any other substantive climate-related component, nor does it contain any explicit human-health outcome, exposure pathway, mitigation action, or adaptation action.",,0.00,0.00,2026-09-01_04-47-54_kimi26
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The study focuses on tensile, flexural, and fatigue testing of alkaline-treated kenaf fibre in a polypropylene matrix. There is no climate-related element (e.g., climate variables, fossil fuels, GHGs) and no directly inferable or explicit health, mitigation, or adaptation connection present in the text.",,0.00,0.00,2026-09-01_04-47-54_kimi26
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"Even under high-recall criteria, the document lacks a climate-related element—it does not mention climate change, weather/climate variables, fossil fuels, greenhouse gases, aerosols, or climate-related extreme events. It also lacks any health, mitigation, or adaptation element.",,0.00,0.00,2026-09-01_04-47-54_kimi26
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,7,include - max precision,True,,,,,False,False,"The document describes the fabrication and mechanical testing of wood-plastic composites. It has no explicit climate-related component and no qualifying human-health connection, mitigation action, or adaptation action protecting human health or ecosystems.",,0.00,0.00,2026-09-01_04-47-54_kimi26
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"The document is exclusively about occupational asbestos exposure and lung cancer. It contains no substantive climate-related component (no climate change, weather variables, extreme events, fossil fuels, greenhouse gases, or climate-forcing agents) and therefore fails the required climate element.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_04-47-54_kimi26
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"The study examines crocidolite asbestos exposure and lung cancer risk. There is no climate-related factor, event, agent, or emission present, either explicitly or directly inferable. Without a climate component, it cannot satisfy the inclusion criteria.","We followed 2218 subjects exposed to crocidolite asbestos as miners (n = 1286) or mine township residents, monitored with annual review, chest radiography (CXR) and outcome linkage to national cancer and mortality registry data over a 25-year period.",0.00,100.00,2026-09-01_04-47-54_kimi26
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"Although the record has a clear health element (lung cancer, asbestosis, mortality), it lacks any climate-related element. Asbestos is not a fossil fuel, greenhouse gas, climate-forcing agent, or weather/climate variable, and the study does not engage with climate change or climate-relevant air pollution in the required sense. Therefore it fails the climate-related criterion even under high-recall screening.",,0.00,0.00,2026-09-01_04-47-54_kimi26
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,7,include - max precision,True,,,,,False,False,"The document addresses asbestos exposure and lung cancer with no mention or substantive engagement of climate change, climate variables, fossil fuels, greenhouse gases, or climate-forcing agents. No explicit climate-health, mitigation, or adaptation connection is present, so it is excluded under the high-precision criteria.",,0.00,0.00,2026-09-01_04-47-54_kimi26
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"The abstract lacks a substantive, explicit climate-related component and does not establish a qualifying human-health, mitigation, or adaptation link. 'Bioenergy' is mentioned only incidentally as a potential application, not as a studied climate or emissions intervention. 'Adaptation' refers to biological adaptation of yeast in a novel environment, not climate adaptation, and 'cancer' is not connected to any climate factor.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_04-47-54_kimi26
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"No substantive climate-related element is present. The study centers on yeast genetics and synthetic allopolyploidy. While 'bioenergy' and 'cancer' are listed as potential applications, there is no directly inferable or explicit connection to climate change, greenhouse-gas emissions, or climate adaptation/mitigation. Biological adaptation of yeast does not constitute climate adaptation.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_04-47-54_kimi26
