attribute_id,attribute_label,value,extraction_run_id,metric_name
0,include - high precision,0.9307692307692308,2026-09-01_04-47-54_kimi26,accuracy
0,include - high precision,0.35714285714285715,2026-09-01_04-47-54_kimi26,recall
0,include - high precision,1.0,2026-09-01_04-47-54_kimi26,precision
0,include - high precision,0.5263157894736842,2026-09-01_04-47-54_kimi26,f1_score
0,include - high precision,14.0,2026-09-01_04-47-54_kimi26,n_labels
5,include - best balance,0.9461538461538461,2026-09-01_04-47-54_kimi26,accuracy
5,include - best balance,0.5,2026-09-01_04-47-54_kimi26,recall
5,include - best balance,1.0,2026-09-01_04-47-54_kimi26,precision
5,include - best balance,0.6666666666666666,2026-09-01_04-47-54_kimi26,f1_score
5,include - best balance,14.0,2026-09-01_04-47-54_kimi26,n_labels
6,include - high recall,0.8384615384615385,2026-09-01_04-47-54_kimi26,accuracy
6,include - high recall,0.9285714285714286,2026-09-01_04-47-54_kimi26,recall
6,include - high recall,0.3939393939393939,2026-09-01_04-47-54_kimi26,precision
6,include - high recall,0.5531914893617021,2026-09-01_04-47-54_kimi26,f1_score
6,include - high recall,14.0,2026-09-01_04-47-54_kimi26,n_labels
7,include - max precision,0.9307692307692308,2026-09-01_04-47-54_kimi26,accuracy
7,include - max precision,0.35714285714285715,2026-09-01_04-47-54_kimi26,recall
7,include - max precision,1.0,2026-09-01_04-47-54_kimi26,precision
7,include - max precision,0.5263157894736842,2026-09-01_04-47-54_kimi26,f1_score
7,include - max precision,14.0,2026-09-01_04-47-54_kimi26,n_labels
