document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"The document studies alkaline treatment of kenaf fibre in wood plastic composites, measuring mechanical properties and morphology. It does not mention climate change, greenhouse gases, fossil fuels, or any climate-related component. There is no human health, mitigation, or adaptation element. Therefore, it fails the high-precision screen.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"The document focuses on material science (kenaf fibre/polypropylene composites) and mechanical testing. It contains no climate-related component (no climate change, weather variables, extreme events, fossil fuels, greenhouse gases, or climate-forcing agents) and no health, mitigation, or adaptation element. The connection is absent, not merely inferable.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"The record describes a materials engineering study on wood plastic composites with kenaf fibre. There is no mention of climate change, climate variability, weather variables, extreme events, fossil fuels, greenhouse gases, particulate matter, or any climate-related element. Without a climate element, the high-recall screen cannot include it.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,7,include - max precision,True,,,,,False,False,"The document is a materials science study on alkaline treatment of kenaf fibre in polypropylene composites. It does not explicitly state any climate-related component (no climate change, weather variables, extreme events, fossil fuels, greenhouse gases, or climate-forcing agents) and no human health, mitigation, or adaptation connection. The high-precision screen requires both elements to be explicit, which they are not.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"The document studies asbestos exposure (crocidolite) and lung cancer risk. It does not mention climate change, climate variability, weather variables, climate-related extreme events, fossil fuels, greenhouse gases, or any climate-forcing agent. Asbestos is not a climate-forcing agent. There is no substantive climate-related component.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"The document studies asbestos exposure and lung cancer risk. It does not mention climate change, climate variability, weather variables, climate-related extreme events, fossil fuels, greenhouse gases, or any climate-forcing agent. Asbestos is not a climate-forcing agent. There is no substantive climate-related component.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"The document studies asbestos exposure and lung cancer risk. It does not mention climate change, climate variability, weather variables, climate-related extreme events, fossil fuels, greenhouse gases, particulate matter, or any climate-forcing agent. Asbestos is not a climate-forcing agent. There is no climate-related element.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,7,include - max precision,True,,,,,False,False,"The document studies asbestos exposure and lung cancer risk. It does not mention climate change, climate variability, weather variables, climate-related extreme events, fossil fuels, greenhouse gases, or any climate-forcing agent. Asbestos is not a climate-forcing agent. There is no substantive climate-related component.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"The abstract describes constructing synthetic yeast hybrids and their adaptation to a novel environment, but it does not explicitly state any human-health outcome, health system, or recognised climate-health exposure pathway. There is no mention of climate change, climate variables, fossil fuels, greenhouse gases, or a mitigation/adaptation action with a human-health connection. The climate element is absent, and no qualifying health, mitigation, or adaptation route is established.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"The abstract does not contain a substantive climate-related component (no climate change, climate variables, extreme events, fossil fuels, greenhouse gases, or climate-forcing agents are studied). It also lacks any explicit or directly inferable human-health connection, mitigation action, or adaptation purpose. The study concerns synthetic yeast hybrids and their adaptation to a novel environment, which is biological acclimation, not climate adaptation.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"The record has no climate-related element: it does not mention climate change, climate variability, weather variables, extreme events, fossil fuels, greenhouse gases, aerosols, or particulate matter. It also lacks any health, mitigation, or adaptation element. The study is about synthetic yeast hybrids and their genomic stability and adaptation, with no link to climate or health.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,7,include - max precision,True,,,,,False,False,"The abstract does not explicitly state any climate-related component (no climate change, climate variables, extreme events, fossil fuels, greenhouse gases, or climate-forcing agents). It also lacks any explicit human-health connection, mitigation action, or adaptation purpose. The study's focus on synthetic yeast hybrids and their adaptation to a novel environment does not constitute climate adaptation or health-related research.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"The document describes a neural network method for extracting water bodies from remote sensing images, focusing on overcoming shadow effects. It does not mention climate change, climate variability, greenhouse gases, fossil fuels, or any climate-related component. There is no human health, mitigation, or adaptation element. Therefore, it fails both the climate and health/mitigation/adaptation criteria.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"The document describes a neural network method for extracting water bodies from remote sensing images, focusing on overcoming shadow effects. It does not mention climate change, climate variability, greenhouse gases, fossil fuels, or any climate-related component. There is no human health, mitigation, or adaptation element. Therefore, it fails both the climate and health/mitigation/adaptation criteria.",,0.00,0.00,2026-09-01_08-05-27_deepseek_s2
