attribute_id,attribute_label,value,extraction_run_id,metric_name
0,include - high precision,0.9230769230769231,2026-09-01_08-31-32_kimi26_s2,accuracy
0,include - high precision,0.2857142857142857,2026-09-01_08-31-32_kimi26_s2,recall
0,include - high precision,1.0,2026-09-01_08-31-32_kimi26_s2,precision
0,include - high precision,0.4444444444444444,2026-09-01_08-31-32_kimi26_s2,f1_score
0,include - high precision,14.0,2026-09-01_08-31-32_kimi26_s2,n_labels
5,include - best balance,0.9461538461538461,2026-09-01_08-31-32_kimi26_s2,accuracy
5,include - best balance,0.5,2026-09-01_08-31-32_kimi26_s2,recall
5,include - best balance,1.0,2026-09-01_08-31-32_kimi26_s2,precision
5,include - best balance,0.6666666666666666,2026-09-01_08-31-32_kimi26_s2,f1_score
5,include - best balance,14.0,2026-09-01_08-31-32_kimi26_s2,n_labels
6,include - high recall,0.8384615384615385,2026-09-01_08-31-32_kimi26_s2,accuracy
6,include - high recall,0.9285714285714286,2026-09-01_08-31-32_kimi26_s2,recall
6,include - high recall,0.3939393939393939,2026-09-01_08-31-32_kimi26_s2,precision
6,include - high recall,0.5531914893617021,2026-09-01_08-31-32_kimi26_s2,f1_score
6,include - high recall,14.0,2026-09-01_08-31-32_kimi26_s2,n_labels
7,include - max precision,0.9153846153846154,2026-09-01_08-31-32_kimi26_s2,accuracy
7,include - max precision,0.21428571428571427,2026-09-01_08-31-32_kimi26_s2,recall
7,include - max precision,1.0,2026-09-01_08-31-32_kimi26_s2,precision
7,include - max precision,0.35294117647058826,2026-09-01_08-31-32_kimi26_s2,f1_score
7,include - max precision,14.0,2026-09-01_08-31-32_kimi26_s2,n_labels
