document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"EXCLUDE: The record concerns material treatment and mechanical properties of kenaf-fibre/polypropylene composites, with no substantive climate-related component and no human-health, mitigation, or adaptation connection.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-01_09-07-29_luna_retuned
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"EXCLUDE: The study evaluates tensile, flexural, fatigue, and morphological properties of a composite material. It does not state a climate factor, climate-related emissions or action, health outcome, or adaptation purpose.",A tensile test was carried out to determine the tensile stress of the material.,0.00,100.00,2026-09-01_09-07-29_luna_retuned
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"EXCLUDE: Although the record describes a composite-material intervention and mentions polypropylene, it does not engage climate change, climate-forcing emissions, weather hazards, health, mitigation, or adaptation.",Specimen was fabricated via injection moulding and hydraulic hot press using kenaf fibre (KF) as filler and polypropylene (PP) as the matrix.,0.00,100.00,2026-09-01_09-07-29_luna_retuned
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"EXCLUDE: The study addresses asbestos exposure and cancer outcomes, but contains no substantive climate-related component such as climate change, weather, fossil fuels, or climate-forcing emissions.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_09-07-29_luna_retuned
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"EXCLUDE: Although the record has a human-health outcome, it does not include a climate-related element. Asbestos exposure is studied as an occupational/medical risk rather than in relation to climate, emissions, or climate-forcing agents.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_09-07-29_luna_retuned
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"EXCLUDE: The record includes human disease and occupational exposure, but no climate-related factor, event, fossil fuel, particulate matter, greenhouse gas, mitigation action, or adaptation element.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_09-07-29_luna_retuned
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"EXCLUDE: The abstract describes synthetic yeast hybrids, chromosomal instability, and biological adaptation to a novel environment, but contains no substantive climate-related element and no qualifying human-health, mitigation, or climate-adaptation connection.","The six-species hybrids initially grew slowly, but they rapidly adapted when selection to a novel environment was applied",0.00,100.00,2026-09-01_09-07-29_luna_retuned
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"EXCLUDE: Although the abstract uses the term “adapted,” it refers to biological adaptation of yeast under selection, not climate adaptation. No climate-related factor, health pathway, mitigation action, or qualifying adaptation purpose is stated.","The six-species hybrids initially grew slowly, but they rapidly adapted when selection to a novel environment was applied",0.00,100.00,2026-09-01_09-07-29_luna_retuned
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"EXCLUDE: The record has no climate-related element such as climate change, weather, climate hazards, fossil fuels, greenhouse gases, or particulate matter. The biological adaptation described is not a climate adaptation element.","The six-species hybrids initially grew slowly, but they rapidly adapted when selection to a novel environment was applied",0.00,100.00,2026-09-01_09-07-29_luna_retuned
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"The record concerns a deep-learning method for extracting water bodies from remote-sensing images and does not substantively address climate change, weather or climate hazards, climate-forcing agents, human health, mitigation, or adaptation.",water body extraction,0.00,100.00,2026-09-01_09-07-29_luna_retuned
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"The study focuses on image segmentation and overcoming building shadows in water-body extraction, with no climate-related component or qualifying health, mitigation, or adaptation connection.",a water extraction network SE-CU-Net model is presented to overcome the shadowing effect,0.00,100.00,2026-09-01_09-07-29_luna_retuned
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,6,include - high recall,True,,,,,False,False,"Although the record concerns water-body mapping, it contains no climate-related factor, event, agent, fossil fuel, particulate matter, health element, mitigation action, or adaptation activity.",Using GF-2 images of Jiangsu province as the data source,0.00,100.00,2026-09-01_09-07-29_luna_retuned
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,0,include - high precision,True,,,,,False,False,"The record discusses electricity access, privatized infrastructure, and apparel manufacturing, but does not substantively address climate change, climate variables, climate hazards, fossil fuels, emissions, mitigation, or adaptation. It also does not establish a qualifying human-health connection.",This article adopts a political economy approach with insights from the political geography literature to illuminate how the apparel manufacturing sector in Kyrgyzstan has thrived in a region known for significant challenges in electricity access and availability.,0.00,100.00,2026-09-01_09-07-29_luna_retuned
