document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns alkaline treatment and mechanical properties of kenaf-fibre/polypropylene composites. It does not explicitly address climate change, weather, emissions, mitigation/adaptation, or human health or health systems.
(EXCLUDE) The record discusses alkaline-treated kenaf fibre/polypropylene composites and their mechanical properties, but it does not explicitly address climate factors, climate mitigation/adaptation, or human health/health systems.
(EXCLUDE) The record concerns alkaline treatment and mechanical properties of kenaf-fibre/polypropylene wood-plastic composites. It does not explicitly address climate factors, mitigation or adaptation, nor does it substantively connect to human health or health systems.","""The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system""",0.00,98.11,2026-09-01_20-18-10_luna_sync_recall
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate change, weather, climate mitigation or adaptation, nor does it connect the materials study to human health or health systems.
(EXCLUDE) The record focuses on alkaline treatment, mechanical strength, fatigue, and morphology of kenaf-fibre/polypropylene composites. It does not substantively address climate change, climate hazards, mitigation, or adaptation, and it contains no human-health outcome or recognized climate-health pathway.
(EXCLUDE) The record concerns the mechanical properties and morphology of kenaf-fibre/polypropylene wood plastic composites. It does not substantively address climate change, climate factors, mitigation, or adaptation, nor does it connect the study to human health or health systems.","""The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system""",0.00,98.11,2026-09-01_20-18-10_luna_sync_recall
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record focuses on alkaline treatment, mechanical strength, fatigue testing, and morphology of kenaf fibre/polypropylene composites. It does not substantively address climate change, climate factors, mitigation, adaptation, or human health/health systems.
(EXCLUDE) The record concerns material treatment and mechanical properties of kenaf fibre/polypropylene composites. It does not substantively address climate change, climate hazards, emissions/fossil fuels, mitigation, adaptation, or human health.
(EXCLUDE) The record concerns treatment and mechanical testing of kenaf-fibre/polypropylene wood-plastic composites. It does not substantively address climate, climate hazards, greenhouse gases, fossil fuels, mitigation, or adaptation, nor does it connect to human health or health systems.",The objective of this study is to identify the effect of alkaline treatment on kenaf fibre in WPC system,0.00,100.00,2026-09-01_20-18-10_luna_sync_recall
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health outcomes related to asbestos exposure, but it does not explicitly address climate change, weather or climate variables, climate-related hazards, greenhouse gases, fossil fuels, mitigation, or adaptation.
(EXCLUDE) The record substantively addresses asbestos exposure and human health outcomes, but it does not explicitly address climate, weather, climate change, emissions, mitigation, or adaptation. Therefore, it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health, including asbestos exposure and lung cancer, but it does not explicitly address climate change, weather or climate variables, climate-related hazards, mitigation, or adaptation.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_20-18-10_luna_sync_recall
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses human health through asbestos exposure, pleural disease, lung cancer, and mesothelioma. However, it does not address climate change, weather or climate factors, climate-forcing agents, fossil fuels, mitigation, or adaptation, so it lacks the required climate component.
(EXCLUDE) The record substantively addresses human health through asbestos-related disease and lung cancer, but it contains no climate, weather, climate-forcing agent, mitigation, or adaptation component. Asbestos is discussed as an occupational toxicant rather than in a climate-related context.
(EXCLUDE) The document substantively addresses asbestos exposure, pleural disease, lung cancer, and mesothelioma, but it does not address climate change, weather or climate factors, climate-forcing agents, fossil fuels, mitigation, or adaptation.","Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.",0.00,100.00,2026-09-01_20-18-10_luna_sync_recall
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record substantively addresses asbestos exposure and human health outcomes, but it does not address climate change, weather or climate variables, climate-forcing agents, fossil fuels, or mitigation/adaptation actions. Therefore, it lacks the required climate component.
(EXCLUDE) The document addresses asbestos exposure, smoking, pleural plaques, asbestosis, and lung cancer in humans, so it has a health component. However, it does not substantively address climate, weather, fossil fuels, greenhouse gases, mitigation, or adaptation; asbestos is discussed as an occupational toxicant rather than a climate-related factor.
(EXCLUDE) The record substantively addresses human health outcomes associated with asbestos exposure, but it contains no climate component: no climate or weather factor, greenhouse gas, fossil fuel, mitigation action, or adaptation action is discussed.","""Asbestos exposure is associated with dose-dependent risk of benign pleural disease, lung cancer and mesothelioma.""",0.00,98.26,2026-09-01_20-18-10_luna_sync_recall
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The record describes synthetic yeast hybrids, genome stability, adaptation to a novel environment, cancer, and bioenergy, but it does not explicitly address climate change, weather, climate hazards, mitigation, or adaptation to climate risks. It also does not report a human-health outcome or health-system connection.
(EXCLUDE) The record does not substantively address a climate factor, climate change, mitigation, or adaptation. Although cancer is mentioned as a potential application, no human-health outcome or health-system connection is studied, so the required climate and health components are not both present.
(EXCLUDE) The abstract discusses synthetic yeast hybrids, polyploidy, genome stability, adaptation, and bioenergy, but it does not explicitly address climate change, weather/climate factors, mitigation, or climate adaptation. It also does not substantively connect the work to human health; mentioning cancer as a potential study application is insufficient.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_20-18-10_luna_sync_recall
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document describes synthetic yeast hybrids, genomic instability, adaptation to a novel environment, and possible applications in cancer and bioenergy, but it does not substantively address a climate factor, climate mitigation, or climate adaptation, nor does it establish a human-health outcome or health-system connection.
(EXCLUDE) The record does not substantively address climate change, climate variables, mitigation, or climate adaptation. Although cancer is mentioned as a potential application, it does not report a human-health outcome or health-system connection. Therefore, both required components are not present.
(EXCLUDE) The record describes synthetic yeast hybrids, genome stability, adaptation to a novel environment, and potential applications in cancer and bioenergy, but it does not substantively address climate change, weather, climate hazards, mitigation, or climate adaptation. It also does not report a human-health outcome or health-system connection.","These new synthetic yeast hybrids have potential applications for the study of polyploidy, genome stability, chromosome segregation, cancer, and bioenergy.",0.00,100.00,2026-09-01_20-18-10_luna_sync_recall
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document concerns synthetic yeast hybrids, genome stability, and adaptation to a novel environment, but it does not substantively address climate, weather, climate change, mitigation, or climate adaptation. Although cancer is mentioned as a potential application, no human-health outcome or health-system connection is studied.
(EXCLUDE) The record concerns synthetic yeast hybrids, genome stability, and biological adaptation to a novel environment. It does not substantively address climate change, climate hazards, mitigation, or climate adaptation, nor does it connect to human health or health systems.
(EXCLUDE) The document focuses on synthetic yeast hybrids, genome stability, adaptation, and potential applications in cancer and bioenergy. It does not substantively address climate change, a climate factor, mitigation, or climate adaptation, nor does it report a human-health outcome or health-system connection.","The six-species hybrids initially grew slowly, but they rapidly adapted when selection to a novel environment was applied",0.00,100.00,2026-09-01_20-18-10_luna_sync_recall
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,0,include - high precision,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document focuses on a deep-learning method for extracting water bodies from remote-sensing images. It does not explicitly address climate change, weather or climate hazards, mitigation, or adaptation, and it does not substantively connect the work to human health or health systems.
(EXCLUDE) The document focuses on improving remote-sensing water-body segmentation using a neural network. It does not explicitly address climate change, weather/climate factors, mitigation, or adaptation, nor does it substantively connect the work to human health or health systems.
(EXCLUDE) The record concerns image segmentation and water-body extraction using remote sensing. It does not explicitly address climate change, weather or climate hazards, mitigation/adaptation, or human health and health systems.","""Finding a means to extract water body information efficiently and accurately from high-resolution remote sensing images""",0.00,98.35,2026-09-01_20-18-10_luna_sync_recall
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,5,include - best balance,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document focuses on improving neural-network-based extraction of water bodies from remote-sensing images. It does not substantively address climate change, climate or weather factors, mitigation/adaptation, or human health and health systems.
(EXCLUDE) The document concerns improving neural-network-based extraction of water bodies from remote-sensing images and does not substantively address climate change, weather or climate hazards, mitigation/adaptation, or human health and health systems.
(EXCLUDE) The document describes a remote-sensing and image-segmentation method for extracting water bodies and does not substantively address climate change, climate hazards, mitigation, adaptation, or human health/health systems.","""water body extraction""",0.00,91.30,2026-09-01_20-18-10_luna_sync_recall
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,6,include - high recall,True,,,,,False,False,"[self-consistency: 0/3 INCLUDE]
(EXCLUDE) The document describes a remote-sensing and neural-network method for extracting water bodies and reducing building-shadow effects. It does not substantively address climate change, weather, climate hazards, mitigation/adaptation, or human health and health systems.
(EXCLUDE) The document concerns improving water-body extraction from high-resolution remote-sensing images and does not substantively address climate change, weather/climate factors, mitigation, adaptation, or human health/health systems.
(EXCLUDE) The document addresses remote-sensing water-body extraction and image-segmentation accuracy, but it does not substantively address climate change, climate hazards, mitigation, adaptation, or a human-health outcome or pathway.","""water body extraction""",0.00,91.30,2026-09-01_20-18-10_luna_sync_recall
