attribute_id,attribute_label,value,extraction_run_id,metric_name
0,include - high precision,0.9,2026-09-02_10-01-36_food_pathway_inclusivity,accuracy
0,include - high precision,0.25,2026-09-02_10-01-36_food_pathway_inclusivity,recall
0,include - high precision,0.75,2026-09-02_10-01-36_food_pathway_inclusivity,precision
0,include - high precision,0.375,2026-09-02_10-01-36_food_pathway_inclusivity,f1_score
0,include - high precision,24.0,2026-09-02_10-01-36_food_pathway_inclusivity,n_labels
5,include - best balance,0.94,2026-09-02_10-01-36_food_pathway_inclusivity,accuracy
5,include - best balance,0.7916666666666666,2026-09-02_10-01-36_food_pathway_inclusivity,recall
5,include - best balance,0.7307692307692307,2026-09-02_10-01-36_food_pathway_inclusivity,precision
5,include - best balance,0.76,2026-09-02_10-01-36_food_pathway_inclusivity,f1_score
5,include - best balance,24.0,2026-09-02_10-01-36_food_pathway_inclusivity,n_labels
6,include - high recall,0.88,2026-09-02_10-01-36_food_pathway_inclusivity,accuracy
6,include - high recall,0.875,2026-09-02_10-01-36_food_pathway_inclusivity,recall
6,include - high recall,0.5,2026-09-02_10-01-36_food_pathway_inclusivity,precision
6,include - high recall,0.6363636363636364,2026-09-02_10-01-36_food_pathway_inclusivity,f1_score
6,include - high recall,24.0,2026-09-02_10-01-36_food_pathway_inclusivity,n_labels
