attribute_id,attribute_label,value,extraction_run_id,metric_name
0,include - high precision,0.905,2026-09-03_18-26-00_terra,accuracy
0,include - high precision,0.2916666666666667,2026-09-03_18-26-00_terra,recall
0,include - high precision,0.7777777777777778,2026-09-03_18-26-00_terra,precision
0,include - high precision,0.42424242424242425,2026-09-03_18-26-00_terra,f1_score
0,include - high precision,24.0,2026-09-03_18-26-00_terra,n_labels
5,include - best balance,0.93,2026-09-03_18-26-00_terra,accuracy
5,include - best balance,0.5833333333333334,2026-09-03_18-26-00_terra,recall
5,include - best balance,0.7777777777777778,2026-09-03_18-26-00_terra,precision
5,include - best balance,0.6666666666666666,2026-09-03_18-26-00_terra,f1_score
5,include - best balance,24.0,2026-09-03_18-26-00_terra,n_labels
6,include - high recall,0.925,2026-09-03_18-26-00_terra,accuracy
6,include - high recall,0.875,2026-09-03_18-26-00_terra,recall
6,include - high recall,0.6363636363636364,2026-09-03_18-26-00_terra,precision
6,include - high recall,0.7368421052631579,2026-09-03_18-26-00_terra,f1_score
6,include - high recall,24.0,2026-09-03_18-26-00_terra,n_labels
