document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,0,include - high precision,True,,,,,True,False,"The record discusses policy methods for a healthier and more sustainable food system, but it does not explicitly address a climate or weather factor, climate mitigation, or climate adaptation. It therefore lacks the required explicit climate component.","""Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?""",0.00,99.19,2026-09-07_07-16-25_MODELCMP_terra
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,5,include - best balance,True,,,,,True,False,"The document concerns policy methods for a healthier and more sustainable food system, but does not substantively address climate change, weather factors, climate mitigation, or climate adaptation. Health is mentioned, but the required climate component is not established.","“Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?”",0.00,99.19,2026-09-07_07-16-25_MODELCMP_terra
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,6,include - high recall,True,,,,,True,False,"The document concerns policy methods for healthier, sustainable food systems, but it does not substantively address climate change, a climate/weather hazard, mitigation, or adaptation. Therefore, no qualifying climate-and-health connection is stated.","“Where are the bold policies to follow, support or even lead the transition to a healthier and more sustainable food system?”",0.00,99.19,2026-09-07_07-16-25_MODELCMP_terra
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,0,include - high precision,True,,,,,True,False,"The record explicitly addresses children's nutrition and nutritional quality, providing a health component. However, it discusses general environmental impacts and an unexplained acronym (EGES), without explicitly stating climate change, greenhouse-gas emissions, fossil fuels, or a climate mitigation/adaptation action. Thus the required explicit climate component is not established.","""would reduce the environmental impact of the meals currently served in French canteens (reduction of EGES by 50%) without altering their nutritional quality.""",0.00,98.74,2026-09-07_07-16-25_MODELCMP_terra
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,5,include - best balance,True,,,,,True,True,"The thesis evaluates a dietary change that reduces greenhouse-gas emissions/environmental impact (a climate-mitigation component) while assessing nutritional quality of meals for primary-school children, constituting a human health component.","increasing the number of vegetarian meals from four to twelve out of twenty, favoring non-ruminant meats ... would reduce the environmental impact of the meals currently served in French canteens (reduction of EGES by 50%) without altering their nutritional quality.",0.00,80.08,2026-09-07_07-16-25_MODELCMP_terra
7441,0044252c-fa23-4027-9598-ece9f5d8df13,Place de l’offre végétarienne en restauration scolaire pour concilier nutrition et environnement : le cas français,6,include - high recall,True,,,,,True,True,"The thesis evaluates a dietary mitigation strategy in school catering, explicitly assessing reductions in greenhouse-gas emissions/environmental impact. It also substantively addresses children's nutrition and meal nutritional quality.","increasing the number of vegetarian meals from four to twelve out of twenty, favoring non-ruminant meats ... would reduce the environmental impact of the meals currently served in French canteens (reduction of EGES by 50%) without altering their nutritional quality.",0.00,80.08,2026-09-07_07-16-25_MODELCMP_terra
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,0,include - high precision,True,,,,,False,False,"The record addresses road-surface defects, traffic density, and road-accident risk, but it does not explicitly address any climate/weather factor, climate mitigation, or climate adaptation action. Therefore it lacks the required climate component.","""this work proposes a novel framework for detection of the road defect and further mapping to the spatial data coordinates resulting into the detection of the accident-prone zones""",0.00,98.89,2026-09-07_07-16-25_MODELCMP_terra
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,5,include - best balance,True,,,,,False,False,"The record concerns road-surface defects, traffic density, and road-accident risk. Although road safety is a human-health-related outcome, it does not substantively address any climate/weather factor, climate mitigation, or climate adaptation action.","""This work proposes a novel framework for detection of the road defect and further mapping to the spatial data coordinates resulting into the detection of the accident-prone zones or accident affinities of the roads.""",0.00,98.62,2026-09-07_07-16-25_MODELCMP_terra
527318,035ba452-02de-4367-939c-f2a730815b43,Detection of Coordinate Based Accident-Prone Areas on Road Surface using Machine Learning Methods,6,include - high recall,True,,,,,False,False,"The record addresses road-surface defects, traffic density, and road-accident risk, but contains no substantive climate, weather, greenhouse-gas, mitigation, or climate-adaptation component.",“This work proposes a novel framework for detection of the road defect and further mapping to the spatial data coordinates resulting into the detection of the accident-prone zones or accident affinities of the roads.”,0.00,98.62,2026-09-07_07-16-25_MODELCMP_terra
1277924427,069ab98b-2177-42b2-85d4-2b9d9cb71620,"Urban transitions and path dependence: Barriers to achieving environmental, cultural, economic, and social sustainability",0,include - high precision,True,,,,,True,False,"The record explicitly concerns urban carbon-emission reductions, a climate mitigation component, but it does not explicitly address human health, health systems, or a recognised human climate-health exposure pathway.","""identify barriers to achieving urban carbon emission reductions""",0.00,96.92,2026-09-07_07-16-25_MODELCMP_terra
