attribute_id,attribute_label,value,extraction_run_id,metric_name
0,include - high precision,,2026-09-07_09-41-04_MODELCMP_kimi26,accuracy
0,include - high precision,,2026-09-07_09-41-04_MODELCMP_kimi26,recall
0,include - high precision,,2026-09-07_09-41-04_MODELCMP_kimi26,precision
0,include - high precision,,2026-09-07_09-41-04_MODELCMP_kimi26,f1_score
0,include - high precision,18.0,2026-09-07_09-41-04_MODELCMP_kimi26,n_labels
5,include - best balance,,2026-09-07_09-41-04_MODELCMP_kimi26,accuracy
5,include - best balance,,2026-09-07_09-41-04_MODELCMP_kimi26,recall
5,include - best balance,,2026-09-07_09-41-04_MODELCMP_kimi26,precision
5,include - best balance,,2026-09-07_09-41-04_MODELCMP_kimi26,f1_score
5,include - best balance,18.0,2026-09-07_09-41-04_MODELCMP_kimi26,n_labels
6,include - high recall,,2026-09-07_09-41-04_MODELCMP_kimi26,accuracy
6,include - high recall,,2026-09-07_09-41-04_MODELCMP_kimi26,recall
6,include - high recall,,2026-09-07_09-41-04_MODELCMP_kimi26,precision
6,include - high recall,,2026-09-07_09-41-04_MODELCMP_kimi26,f1_score
6,include - high recall,18.0,2026-09-07_09-41-04_MODELCMP_kimi26,n_labels
