document_id,external_id,name,file_path
60023523,0033a9dc-c1f5-4f47-842c-089a2d11b676,The characterization of mechanical behaviour on kenaf fibre / polypropylene composites,
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,
17551,00e924bf-55ff-45d2-997e-1e1606487c20,Composites of Furan Resin Cured with Acid Catalyst,
5471,010cea96-52e4-4819-8944-88d4b08345aa,Presence of pleural plaques and/or asbestosis and the risk of lung cancer in a Crocidolite asbestos exposed population from Western Australia,
2727236785,0136bca3-09f9-4dd8-b629-5cb932d72eed,Fascitization by ‘nox-culture’ and “renegadeness” as reference points of modern reality,
73672172,015aca5d-8fd6-49f4-9145-05e86e4e1c1c,Are Lithium Ion Cells Intrinsically Safe?,
66251,019ed319-32cb-4019-879e-22bf614ed90b,,
21497823,01a3e3e1-114f-4c91-a5e6-f1cf9cfa1804,Synthetic hybrids of six yeast species,
7204176,01a4f98f-42c5-4183-95a4-cb59a92652ed,Estuary planning and management in Portugal: sharing local boundaries for water resources management,
815689216,023f6c50-518e-4630-877f-026227409a4a,Improvement and application of UNet network for avoiding the effect of urban dense high-rise buildings and other feature shadows on water body extraction,
85800,02582337-3224-44be-a832-434a70a9aa23,UPLC Method for Simultaneous Estimation of Ledipasvir and Sofosbuvir in Bulk and Dosage Forms and Their Stress Degradation Studies,
2040999,027b2541-38f0-4db1-9f35-3b3eb4c32918,"Petroleum geochemistry and origin of shallow-buried saline lacustrine oils in the slope zone of the Mahu sag, Junggar Basin, NW China",
1984459616,0343adf7-4e65-4161-bb42-7377f8f5d811,"Application of ""Lufeng Active Pit Mud Functional Bacteria""in Rejuvenation of Aged Pit Mud",
84030,036322f9-6b29-420d-8fd2-981da55c27e3,Learning Robust Decision Policies from Observational Data,
47971,03c124ed-ea87-4b13-80b1-65ca4183f32d,Tectonic controls on effective elastic thickness of lithospheres around the Southeast Asian subduction zones,
16190,0432a675-4926-47c6-83e8-ee81d76dc497,Vitreous Cryopreservation of Human Umbilical Vein Endothelial Cells with Low Concentration of Cryoprotective Agents for Vascular Tissue Engineering,
558553,04cbc527-875c-44bd-ad19-a57458f0eaaf,New shop owners in old buildings: spatial politics of the apparel industry in Kyrgyzstan,
4590682663,057d9801-22cc-4aca-af9e-9cfc3d98eeea,Isolation and Purification of an Antimicrobial Protein from Rabbit Small Intestine and Its Antibacterial Activity,
6365261,05d82313-c646-4ba4-a73f-5e1afccb8c9c,RESEARCH OF CONSEQUENCES OF EMERGENCY SITUATIONS AT THE INDUSTRIAL PIPELINES,
24980060,06385312-a9b7-4712-9682-c34d058f5bf1,Determining Carboxyhaemoglobin levels in Children with Asthma and Recurrent Wheezing in Relation to Exposure to Second-hand Smoking and Solid fuel,
52408276,068cec09-39e1-4908-af76-75e36e7974d0,Timing of Episodic Drought Can Be Critical in Cotton,
1277924427,069ab98b-2177-42b2-85d4-2b9d9cb71620,"Urban transitions and path dependence: Barriers to achieving environmental, cultural, economic, and social sustainability",
867022,06fc4d0e-3cf7-40db-87c7-a3b9aae43f78,Hydrocarbon dynamics influenced by coal-related activities in a South Atlantic River–Estuarine System: Challenges for conventional source apportionment approaches,
6528,077200ee-64c3-42d7-9e3c-a36dd63e73c9,Demonstrating subsurface drip irrigation as a climate adaptation strategy for sustainable crop production in South Carolina,
577844,07f06b2f-d707-4f82-84ae-a7bfebeac1ee,"""Does the Inner Garden Program Enhance Self-Compassion in Youth Workers? An Evaluation of an EU-Funded Training Course""",
5170594758,084922c2-24bf-43aa-b760-037398ad86fc,New HIGH-ALTITUDE FUEL SYSTEM for AIRCRAFT,
68544744,087f27b8-7aa4-464c-bc10-5d5d38110791,The Arid Zones,
2882648,088e32d2-4e45-4f68-a3e3-6ebd1b65b6f0,Preliminary study of the population and reproductive dynamics of Echinaster sepositus (Spinulosida: Echinasteridae) in Cala del Racó,
528141890,088ef440-6500-4e89-aa4c-cf4f22e32893,Information systems and social legitimacy scientific visualization of water quality,
145840,0896216c-3c46-47b5-b901-29067c91f8e9,"Společenské, ekonomické a legislativní aspekty výstavby soběstačných domů v České republice",
44493873,08bc5046-d4c0-43a6-b7f3-0e5deb1dbc16,Long-Distance Radical Cation Migration in Z-Form DNA,
104858254,0903ca18-3876-442a-8a0f-f140f4a3e4de,EFEK BLIND FEEDING UNTUK MENINGKATKAN PERTUMBUHAN POST LARVA UDANG VANAME KEPADATAN TINGGI DAN PENGARUHNYA TERHADAP KUALITAS AIR [The Effect of Blind feeding to Increase Post Larva Growth of High-density Vaname Shrimp and Their Effect on Water Quality],
334559,093ae6f6-5c9f-4583-9fea-caaa6415229e,Cobalt disilicide interconnects for micromechanical devices,
49301243,094fb2b5-f164-46eb-8016-db29e2318aee,"Preterm birth and low birth weight infants rates, 2014 (or latest year available)",
558608,096eb124-629f-4ad4-ab34-54f614b07925,,
3172734,097415f6-897b-4026-91da-3253911576e5,,
