attribute_id,attribute_label,value,extraction_run_id,metric_name
35,(Unspecified) fossil fuels,0.96,2026-08-31_11-15-46_,accuracy
35,(Unspecified) fossil fuels,0.0,2026-08-31_11-15-46_,recall
35,(Unspecified) fossil fuels,0.0,2026-08-31_11-15-46_,precision
35,(Unspecified) fossil fuels,0.0,2026-08-31_11-15-46_,f1_score
35,(Unspecified) fossil fuels,1.0,2026-08-31_11-15-46_,n_labels
37,Natural gas,1.0,2026-08-31_11-15-46_,accuracy
37,Natural gas,0.0,2026-08-31_11-15-46_,recall
37,Natural gas,0.0,2026-08-31_11-15-46_,precision
37,Natural gas,0.0,2026-08-31_11-15-46_,f1_score
37,Natural gas,0.0,2026-08-31_11-15-46_,n_labels
38,Oil,1.0,2026-08-31_11-15-46_,accuracy
38,Oil,0.0,2026-08-31_11-15-46_,recall
38,Oil,0.0,2026-08-31_11-15-46_,precision
38,Oil,0.0,2026-08-31_11-15-46_,f1_score
38,Oil,0.0,2026-08-31_11-15-46_,n_labels
36,Coal,1.0,2026-08-31_11-15-46_,accuracy
36,Coal,0.0,2026-08-31_11-15-46_,recall
36,Coal,0.0,2026-08-31_11-15-46_,precision
36,Coal,0.0,2026-08-31_11-15-46_,f1_score
36,Coal,0.0,2026-08-31_11-15-46_,n_labels
454,All genders,0.56,2026-08-31_11-15-46_,accuracy
454,All genders,0.08333333333333333,2026-08-31_11-15-46_,recall
454,All genders,1.0,2026-08-31_11-15-46_,precision
454,All genders,0.15384615384615385,2026-08-31_11-15-46_,f1_score
454,All genders,12.0,2026-08-31_11-15-46_,n_labels
456,Female,1.0,2026-08-31_11-15-46_,accuracy
456,Female,0.0,2026-08-31_11-15-46_,recall
456,Female,0.0,2026-08-31_11-15-46_,precision
456,Female,0.0,2026-08-31_11-15-46_,f1_score
456,Female,0.0,2026-08-31_11-15-46_,n_labels
455,Diverse,1.0,2026-08-31_11-15-46_,accuracy
455,Diverse,0.0,2026-08-31_11-15-46_,recall
455,Diverse,0.0,2026-08-31_11-15-46_,precision
455,Diverse,0.0,2026-08-31_11-15-46_,f1_score
455,Diverse,0.0,2026-08-31_11-15-46_,n_labels
457,Male,1.0,2026-08-31_11-15-46_,accuracy
457,Male,0.0,2026-08-31_11-15-46_,recall
457,Male,0.0,2026-08-31_11-15-46_,precision
457,Male,0.0,2026-08-31_11-15-46_,f1_score
457,Male,0.0,2026-08-31_11-15-46_,n_labels
1,1. Supranational and international organizations (Actor),0.92,2026-08-31_11-15-46_,accuracy
1,1. Supranational and international organizations (Actor),0.0,2026-08-31_11-15-46_,recall
1,1. Supranational and international organizations (Actor),0.0,2026-08-31_11-15-46_,precision
1,1. Supranational and international organizations (Actor),0.0,2026-08-31_11-15-46_,f1_score
1,1. Supranational and international organizations (Actor),0.0,2026-08-31_11-15-46_,n_labels
4,4. Civil society (Actor),0.96,2026-08-31_11-15-46_,accuracy
4,4. Civil society (Actor),0.0,2026-08-31_11-15-46_,recall
4,4. Civil society (Actor),0.0,2026-08-31_11-15-46_,precision
4,4. Civil society (Actor),0.0,2026-08-31_11-15-46_,f1_score
4,4. Civil society (Actor),1.0,2026-08-31_11-15-46_,n_labels
2,2. Governments (Actor),0.84,2026-08-31_11-15-46_,accuracy
2,2. Governments (Actor),0.6,2026-08-31_11-15-46_,recall
2,2. Governments (Actor),0.6,2026-08-31_11-15-46_,precision
2,2. Governments (Actor),0.6,2026-08-31_11-15-46_,f1_score
2,2. Governments (Actor),5.0,2026-08-31_11-15-46_,n_labels
3,3. Private sector (Actor),0.88,2026-08-31_11-15-46_,accuracy
3,3. Private sector (Actor),0.0,2026-08-31_11-15-46_,recall
3,3. Private sector (Actor),0.0,2026-08-31_11-15-46_,precision
3,3. Private sector (Actor),0.0,2026-08-31_11-15-46_,f1_score
3,3. Private sector (Actor),0.0,2026-08-31_11-15-46_,n_labels
5,5. Households / individuals (Actor),0.6,2026-08-31_11-15-46_,accuracy
5,5. Households / individuals (Actor),1.0,2026-08-31_11-15-46_,recall
5,5. Households / individuals (Actor),0.16666666666666666,2026-08-31_11-15-46_,precision
5,5. Households / individuals (Actor),0.2857142857142857,2026-08-31_11-15-46_,f1_score
5,5. Households / individuals (Actor),2.0,2026-08-31_11-15-46_,n_labels
41,Polar,1.0,2026-08-31_11-15-46_,accuracy
41,Polar,0.0,2026-08-31_11-15-46_,recall
41,Polar,0.0,2026-08-31_11-15-46_,precision
41,Polar,0.0,2026-08-31_11-15-46_,f1_score
41,Polar,0.0,2026-08-31_11-15-46_,n_labels
40,Dry / arid,0.92,2026-08-31_11-15-46_,accuracy
40,Dry / arid,0.0,2026-08-31_11-15-46_,recall
40,Dry / arid,0.0,2026-08-31_11-15-46_,precision
40,Dry / arid,0.0,2026-08-31_11-15-46_,f1_score
40,Dry / arid,0.0,2026-08-31_11-15-46_,n_labels
42,Temperate,0.96,2026-08-31_11-15-46_,accuracy
42,Temperate,0.0,2026-08-31_11-15-46_,recall
42,Temperate,0.0,2026-08-31_11-15-46_,precision
42,Temperate,0.0,2026-08-31_11-15-46_,f1_score
42,Temperate,0.0,2026-08-31_11-15-46_,n_labels
39,Continental,0.96,2026-08-31_11-15-46_,accuracy
39,Continental,0.0,2026-08-31_11-15-46_,recall
39,Continental,0.0,2026-08-31_11-15-46_,precision
39,Continental,0.0,2026-08-31_11-15-46_,f1_score
39,Continental,1.0,2026-08-31_11-15-46_,n_labels
43,Tropical,0.96,2026-08-31_11-15-46_,accuracy
43,Tropical,0.0,2026-08-31_11-15-46_,recall
43,Tropical,0.0,2026-08-31_11-15-46_,precision
43,Tropical,0.0,2026-08-31_11-15-46_,f1_score
43,Tropical,0.0,2026-08-31_11-15-46_,n_labels
70,International - multi-country (Governance scale),0.96,2026-08-31_11-15-46_,accuracy
70,International - multi-country (Governance scale),0.0,2026-08-31_11-15-46_,recall
70,International - multi-country (Governance scale),0.0,2026-08-31_11-15-46_,precision
70,International - multi-country (Governance scale),0.0,2026-08-31_11-15-46_,f1_score
70,International - multi-country (Governance scale),0.0,2026-08-31_11-15-46_,n_labels
74,Sub-national - regional (Governance scale),0.96,2026-08-31_11-15-46_,accuracy
74,Sub-national - regional (Governance scale),0.6666666666666666,2026-08-31_11-15-46_,recall
74,Sub-national - regional (Governance scale),1.0,2026-08-31_11-15-46_,precision
74,Sub-national - regional (Governance scale),0.8,2026-08-31_11-15-46_,f1_score
74,Sub-national - regional (Governance scale),3.0,2026-08-31_11-15-46_,n_labels
69,Global (Governance scale),0.96,2026-08-31_11-15-46_,accuracy
69,Global (Governance scale),0.0,2026-08-31_11-15-46_,recall
69,Global (Governance scale),0.0,2026-08-31_11-15-46_,precision
69,Global (Governance scale),0.0,2026-08-31_11-15-46_,f1_score
69,Global (Governance scale),0.0,2026-08-31_11-15-46_,n_labels
75,Z_Household / individual (Governance scale),0.92,2026-08-31_11-15-46_,accuracy
75,Z_Household / individual (Governance scale),1.0,2026-08-31_11-15-46_,recall
75,Z_Household / individual (Governance scale),0.3333333333333333,2026-08-31_11-15-46_,precision
75,Z_Household / individual (Governance scale),0.5,2026-08-31_11-15-46_,f1_score
75,Z_Household / individual (Governance scale),1.0,2026-08-31_11-15-46_,n_labels
73,Sub-national - local / municipal (Governance scale),0.88,2026-08-31_11-15-46_,accuracy
73,Sub-national - local / municipal (Governance scale),0.3333333333333333,2026-08-31_11-15-46_,recall
73,Sub-national - local / municipal (Governance scale),0.5,2026-08-31_11-15-46_,precision
73,Sub-national - local / municipal (Governance scale),0.4,2026-08-31_11-15-46_,f1_score
73,Sub-national - local / municipal (Governance scale),3.0,2026-08-31_11-15-46_,n_labels
71,International - regional (Governance scale),0.96,2026-08-31_11-15-46_,accuracy
71,International - regional (Governance scale),0.5,2026-08-31_11-15-46_,recall
71,International - regional (Governance scale),1.0,2026-08-31_11-15-46_,precision
71,International - regional (Governance scale),0.6666666666666666,2026-08-31_11-15-46_,f1_score
71,International - regional (Governance scale),2.0,2026-08-31_11-15-46_,n_labels
72,National (Governance scale),0.84,2026-08-31_11-15-46_,accuracy
72,National (Governance scale),0.0,2026-08-31_11-15-46_,recall
72,National (Governance scale),0.0,2026-08-31_11-15-46_,precision
72,National (Governance scale),0.0,2026-08-31_11-15-46_,f1_score
72,National (Governance scale),1.0,2026-08-31_11-15-46_,n_labels
17,(Unspecified) greenhouse gases,1.0,2026-08-31_11-15-46_,accuracy
17,(Unspecified) greenhouse gases,0.0,2026-08-31_11-15-46_,recall
17,(Unspecified) greenhouse gases,0.0,2026-08-31_11-15-46_,precision
17,(Unspecified) greenhouse gases,0.0,2026-08-31_11-15-46_,f1_score
17,(Unspecified) greenhouse gases,0.0,2026-08-31_11-15-46_,n_labels
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,1.0,2026-08-31_11-15-46_,accuracy
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-08-31_11-15-46_,recall
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-08-31_11-15-46_,precision
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-08-31_11-15-46_,f1_score
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-08-31_11-15-46_,n_labels
24,Tropospheric ozone (O₃),1.0,2026-08-31_11-15-46_,accuracy
24,Tropospheric ozone (O₃),0.0,2026-08-31_11-15-46_,recall
24,Tropospheric ozone (O₃),0.0,2026-08-31_11-15-46_,precision
24,Tropospheric ozone (O₃),0.0,2026-08-31_11-15-46_,f1_score
24,Tropospheric ozone (O₃),0.0,2026-08-31_11-15-46_,n_labels
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,1.0,2026-08-31_11-15-46_,accuracy
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-08-31_11-15-46_,recall
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-08-31_11-15-46_,precision
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-08-31_11-15-46_,f1_score
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-08-31_11-15-46_,n_labels
21,Nitrous oxide (N₂O),1.0,2026-08-31_11-15-46_,accuracy
21,Nitrous oxide (N₂O),0.0,2026-08-31_11-15-46_,recall
21,Nitrous oxide (N₂O),0.0,2026-08-31_11-15-46_,precision
21,Nitrous oxide (N₂O),0.0,2026-08-31_11-15-46_,f1_score
21,Nitrous oxide (N₂O),0.0,2026-08-31_11-15-46_,n_labels
20,Methane (CH₄),1.0,2026-08-31_11-15-46_,accuracy
20,Methane (CH₄),1.0,2026-08-31_11-15-46_,recall
20,Methane (CH₄),1.0,2026-08-31_11-15-46_,precision
20,Methane (CH₄),1.0,2026-08-31_11-15-46_,f1_score
20,Methane (CH₄),1.0,2026-08-31_11-15-46_,n_labels
18,Carbon dioxide (CO₂),1.0,2026-08-31_11-15-46_,accuracy
18,Carbon dioxide (CO₂),1.0,2026-08-31_11-15-46_,recall
18,Carbon dioxide (CO₂),1.0,2026-08-31_11-15-46_,precision
18,Carbon dioxide (CO₂),1.0,2026-08-31_11-15-46_,f1_score
18,Carbon dioxide (CO₂),1.0,2026-08-31_11-15-46_,n_labels
23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,0.84,2026-08-31_11-15-46_,accuracy
23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,0.6,2026-08-31_11-15-46_,recall
23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,0.6,2026-08-31_11-15-46_,precision
23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,0.6,2026-08-31_11-15-46_,f1_score
23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,5.0,2026-08-31_11-15-46_,n_labels
313,2. Million-cities,0.84,2026-08-31_11-15-46_,accuracy
313,2. Million-cities,0.0,2026-08-31_11-15-46_,recall
313,2. Million-cities,0.0,2026-08-31_11-15-46_,precision
313,2. Million-cities,0.0,2026-08-31_11-15-46_,f1_score
313,2. Million-cities,4.0,2026-08-31_11-15-46_,n_labels
314,3. Cities,0.96,2026-08-31_11-15-46_,accuracy
314,3. Cities,0.0,2026-08-31_11-15-46_,recall
314,3. Cities,0.0,2026-08-31_11-15-46_,precision
314,3. Cities,0.0,2026-08-31_11-15-46_,f1_score
314,3. Cities,1.0,2026-08-31_11-15-46_,n_labels
307,1. Formal urban settlements,0.96,2026-08-31_11-15-46_,accuracy
307,1. Formal urban settlements,0.8,2026-08-31_11-15-46_,recall
307,1. Formal urban settlements,1.0,2026-08-31_11-15-46_,precision
307,1. Formal urban settlements,0.8888888888888888,2026-08-31_11-15-46_,f1_score
307,1. Formal urban settlements,5.0,2026-08-31_11-15-46_,n_labels
312,1. Megacities,1.0,2026-08-31_11-15-46_,accuracy
312,1. Megacities,0.0,2026-08-31_11-15-46_,recall
312,1. Megacities,0.0,2026-08-31_11-15-46_,precision
312,1. Megacities,0.0,2026-08-31_11-15-46_,f1_score
312,1. Megacities,0.0,2026-08-31_11-15-46_,n_labels
309,3. Informal settlements,1.0,2026-08-31_11-15-46_,accuracy
309,3. Informal settlements,0.0,2026-08-31_11-15-46_,recall
309,3. Informal settlements,0.0,2026-08-31_11-15-46_,precision
309,3. Informal settlements,0.0,2026-08-31_11-15-46_,f1_score
309,3. Informal settlements,0.0,2026-08-31_11-15-46_,n_labels
310,4. Refugee/displaced settlements,1.0,2026-08-31_11-15-46_,accuracy
310,4. Refugee/displaced settlements,0.0,2026-08-31_11-15-46_,recall
310,4. Refugee/displaced settlements,0.0,2026-08-31_11-15-46_,precision
310,4. Refugee/displaced settlements,0.0,2026-08-31_11-15-46_,f1_score
310,4. Refugee/displaced settlements,0.0,2026-08-31_11-15-46_,n_labels
311,5. Rural settlements,0.92,2026-08-31_11-15-46_,accuracy
311,5. Rural settlements,0.75,2026-08-31_11-15-46_,recall
311,5. Rural settlements,0.75,2026-08-31_11-15-46_,precision
311,5. Rural settlements,0.75,2026-08-31_11-15-46_,f1_score
311,5. Rural settlements,4.0,2026-08-31_11-15-46_,n_labels
315,4. Towns,1.0,2026-08-31_11-15-46_,accuracy
315,4. Towns,0.0,2026-08-31_11-15-46_,recall
315,4. Towns,0.0,2026-08-31_11-15-46_,precision
315,4. Towns,0.0,2026-08-31_11-15-46_,f1_score
315,4. Towns,0.0,2026-08-31_11-15-46_,n_labels
308,2. Peri-urban settlements,1.0,2026-08-31_11-15-46_,accuracy
308,2. Peri-urban settlements,0.0,2026-08-31_11-15-46_,recall
308,2. Peri-urban settlements,0.0,2026-08-31_11-15-46_,precision
308,2. Peri-urban settlements,0.0,2026-08-31_11-15-46_,f1_score
308,2. Peri-urban settlements,0.0,2026-08-31_11-15-46_,n_labels
30,Floods,1.0,2026-08-31_11-15-46_,accuracy
30,Floods,1.0,2026-08-31_11-15-46_,recall
30,Floods,1.0,2026-08-31_11-15-46_,precision
30,Floods,1.0,2026-08-31_11-15-46_,f1_score
30,Floods,3.0,2026-08-31_11-15-46_,n_labels
32,Storms and severe wind,0.92,2026-08-31_11-15-46_,accuracy
32,Storms and severe wind,0.5,2026-08-31_11-15-46_,recall
32,Storms and severe wind,1.0,2026-08-31_11-15-46_,precision
32,Storms and severe wind,0.6666666666666666,2026-08-31_11-15-46_,f1_score
32,Storms and severe wind,4.0,2026-08-31_11-15-46_,n_labels
25,Droughts,1.0,2026-08-31_11-15-46_,accuracy
25,Droughts,0.0,2026-08-31_11-15-46_,recall
25,Droughts,0.0,2026-08-31_11-15-46_,precision
25,Droughts,0.0,2026-08-31_11-15-46_,f1_score
25,Droughts,0.0,2026-08-31_11-15-46_,n_labels
26,Extreme cold,1.0,2026-08-31_11-15-46_,accuracy
26,Extreme cold,0.0,2026-08-31_11-15-46_,recall
26,Extreme cold,0.0,2026-08-31_11-15-46_,precision
26,Extreme cold,0.0,2026-08-31_11-15-46_,f1_score
26,Extreme cold,0.0,2026-08-31_11-15-46_,n_labels
28,Extreme precipitation,1.0,2026-08-31_11-15-46_,accuracy
28,Extreme precipitation,1.0,2026-08-31_11-15-46_,recall
28,Extreme precipitation,1.0,2026-08-31_11-15-46_,precision
28,Extreme precipitation,1.0,2026-08-31_11-15-46_,f1_score
28,Extreme precipitation,1.0,2026-08-31_11-15-46_,n_labels
33,Wildfires,1.0,2026-08-31_11-15-46_,accuracy
33,Wildfires,1.0,2026-08-31_11-15-46_,recall
33,Wildfires,1.0,2026-08-31_11-15-46_,precision
33,Wildfires,1.0,2026-08-31_11-15-46_,f1_score
33,Wildfires,1.0,2026-08-31_11-15-46_,n_labels
34,Z_(Unspecified) extreme weather events,0.92,2026-08-31_11-15-46_,accuracy
34,Z_(Unspecified) extreme weather events,0.3333333333333333,2026-08-31_11-15-46_,recall
34,Z_(Unspecified) extreme weather events,1.0,2026-08-31_11-15-46_,precision
34,Z_(Unspecified) extreme weather events,0.5,2026-08-31_11-15-46_,f1_score
34,Z_(Unspecified) extreme weather events,3.0,2026-08-31_11-15-46_,n_labels
29,Extreme snow/ice events,1.0,2026-08-31_11-15-46_,accuracy
29,Extreme snow/ice events,0.0,2026-08-31_11-15-46_,recall
29,Extreme snow/ice events,0.0,2026-08-31_11-15-46_,precision
29,Extreme snow/ice events,0.0,2026-08-31_11-15-46_,f1_score
29,Extreme snow/ice events,0.0,2026-08-31_11-15-46_,n_labels
31,Sand and dust storms,1.0,2026-08-31_11-15-46_,accuracy
31,Sand and dust storms,0.0,2026-08-31_11-15-46_,recall
31,Sand and dust storms,0.0,2026-08-31_11-15-46_,precision
31,Sand and dust storms,0.0,2026-08-31_11-15-46_,f1_score
31,Sand and dust storms,0.0,2026-08-31_11-15-46_,n_labels
27,Extreme heat,1.0,2026-08-31_11-15-46_,accuracy
27,Extreme heat,1.0,2026-08-31_11-15-46_,recall
27,Extreme heat,1.0,2026-08-31_11-15-46_,precision
27,Extreme heat,1.0,2026-08-31_11-15-46_,f1_score
27,Extreme heat,2.0,2026-08-31_11-15-46_,n_labels
490,Maladaptation,0.96,2026-08-31_11-15-46_,accuracy
490,Maladaptation,0.0,2026-08-31_11-15-46_,recall
490,Maladaptation,0.0,2026-08-31_11-15-46_,precision
490,Maladaptation,0.0,2026-08-31_11-15-46_,f1_score
490,Maladaptation,0.0,2026-08-31_11-15-46_,n_labels
488,Impact,0.64,2026-08-31_11-15-46_,accuracy
488,Impact,0.36363636363636365,2026-08-31_11-15-46_,recall
488,Impact,0.6666666666666666,2026-08-31_11-15-46_,precision
488,Impact,0.47058823529411764,2026-08-31_11-15-46_,f1_score
