attribute_id,attribute_label,value,extraction_run_id,metric_name
35,(Unspecified) fossil fuels,0.96,2026-09-02_12-07-56_flat_llm_luna,accuracy
35,(Unspecified) fossil fuels,0.0,2026-09-02_12-07-56_flat_llm_luna,recall
35,(Unspecified) fossil fuels,0.0,2026-09-02_12-07-56_flat_llm_luna,precision
35,(Unspecified) fossil fuels,0.0,2026-09-02_12-07-56_flat_llm_luna,f1_score
35,(Unspecified) fossil fuels,1.0,2026-09-02_12-07-56_flat_llm_luna,n_labels
37,Natural gas,1.0,2026-09-02_12-07-56_flat_llm_luna,accuracy
37,Natural gas,0.0,2026-09-02_12-07-56_flat_llm_luna,recall
37,Natural gas,0.0,2026-09-02_12-07-56_flat_llm_luna,precision
37,Natural gas,0.0,2026-09-02_12-07-56_flat_llm_luna,f1_score
37,Natural gas,0.0,2026-09-02_12-07-56_flat_llm_luna,n_labels
36,Coal,1.0,2026-09-02_12-07-56_flat_llm_luna,accuracy
36,Coal,0.0,2026-09-02_12-07-56_flat_llm_luna,recall
36,Coal,0.0,2026-09-02_12-07-56_flat_llm_luna,precision
36,Coal,0.0,2026-09-02_12-07-56_flat_llm_luna,f1_score
36,Coal,0.0,2026-09-02_12-07-56_flat_llm_luna,n_labels
38,Oil,1.0,2026-09-02_12-07-56_flat_llm_luna,accuracy
38,Oil,0.0,2026-09-02_12-07-56_flat_llm_luna,recall
38,Oil,0.0,2026-09-02_12-07-56_flat_llm_luna,precision
38,Oil,0.0,2026-09-02_12-07-56_flat_llm_luna,f1_score
38,Oil,0.0,2026-09-02_12-07-56_flat_llm_luna,n_labels
457,Male,1.0,2026-09-02_12-07-56_flat_llm_luna,accuracy
457,Male,0.0,2026-09-02_12-07-56_flat_llm_luna,recall
457,Male,0.0,2026-09-02_12-07-56_flat_llm_luna,precision
457,Male,0.0,2026-09-02_12-07-56_flat_llm_luna,f1_score
457,Male,0.0,2026-09-02_12-07-56_flat_llm_luna,n_labels
456,Female,1.0,2026-09-02_12-07-56_flat_llm_luna,accuracy
456,Female,0.0,2026-09-02_12-07-56_flat_llm_luna,recall
456,Female,0.0,2026-09-02_12-07-56_flat_llm_luna,precision
456,Female,0.0,2026-09-02_12-07-56_flat_llm_luna,f1_score
456,Female,0.0,2026-09-02_12-07-56_flat_llm_luna,n_labels
454,All genders,0.52,2026-09-02_12-07-56_flat_llm_luna,accuracy
454,All genders,0.0,2026-09-02_12-07-56_flat_llm_luna,recall
454,All genders,0.0,2026-09-02_12-07-56_flat_llm_luna,precision
454,All genders,0.0,2026-09-02_12-07-56_flat_llm_luna,f1_score
454,All genders,12.0,2026-09-02_12-07-56_flat_llm_luna,n_labels
