document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,36,Coal,True,,,,,False,False,The document does not mention coal or any specific fossil fuel.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,38,Oil,True,,,,,False,False,"The document does not mention oil, petroleum, petrol, diesel, or jet fuel.",,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,35,(Unspecified) fossil fuels,True,,,,,False,False,The document does not discuss fossil fuel use in general.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,37,Natural gas,True,,,,,False,False,The document does not mention natural gas or methane.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,454,All genders,True,,,,,True,False,"The document concerns policy dialogue and food systems, not a human study population.",,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,455,Diverse,True,,,,,False,False,No gender-diverse population is discussed.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,456,Female,True,,,,,False,False,No female-specific population or analysis is discussed.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,457,Male,True,,,,,False,False,No male-specific population or analysis is discussed.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,1,1. Supranational and international organizations (Actor),True,,,,,False,False,"Although Nordic prime ministers are mentioned, the document does not identify supranational bodies or intergovernmental organisations as the relevant actor.",,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,4,4. Civil society (Actor),True,,,,,False,False,"No non-profit, advocacy, or community-based organisation is identified.",,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,5,5. Households / individuals (Actor),True,,,,,False,False,Individual people and households are not discussed as the subject of the document.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,3,3. Private sector (Actor),True,,,,,False,False,Commercial enterprises or business associations are not mentioned.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,2,2. Governments (Actor),True,,,,,True,True,"The document explicitly addresses policymakers, and it also refers to Nordic prime ministers and innovative policy.",policymakers,0.00,100.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,42,Temperate,True,,,,,False,False,No climate zone is described.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,40,Dry / arid,True,,,,,False,False,No arid or semi-arid climate is described.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,43,Tropical,True,,,,,False,False,No tropical climate is described.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,41,Polar,True,,,,,False,False,No cold or polar climate is described.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,39,Continental,True,,,,,False,False,No continental or mid/high-latitude climate is described.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,71,International - regional (Governance scale),True,,,,,True,False,No formally defined regional governance bloc is discussed.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,73,Sub-national - local / municipal (Governance scale),True,,,,,False,False,No local or municipal governance is identified.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,72,National (Governance scale),True,,,,,False,False,The document mentions policymakers generally but does not describe governance implemented at the level of a single nation.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,74,Sub-national - regional (Governance scale),True,,,,,False,False,No subnational regional or provincial governance is described.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,69,Global (Governance scale),True,,,,,False,False,"The document refers to global challenges but does not describe worldwide governance institutions, agreements, or processes.",,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,75,Z_Household / individual (Governance scale),True,,,,,False,False,Individual or household-level governance is not discussed.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,70,International - multi-country (Governance scale),True,,,,,False,False,No defined multi-country partnership or coalition is described.,,0.00,0.00,2026-09-02_13-04-37_population_scopenote_clarifications
