attribute_id,attribute_label,value,extraction_run_id,metric_name
37,Natural gas,1.0,2026-09-02_13-17-12_topic_clarification,accuracy
37,Natural gas,0.0,2026-09-02_13-17-12_topic_clarification,recall
37,Natural gas,0.0,2026-09-02_13-17-12_topic_clarification,precision
37,Natural gas,0.0,2026-09-02_13-17-12_topic_clarification,f1_score
37,Natural gas,0.0,2026-09-02_13-17-12_topic_clarification,n_labels
38,Oil,1.0,2026-09-02_13-17-12_topic_clarification,accuracy
38,Oil,0.0,2026-09-02_13-17-12_topic_clarification,recall
38,Oil,0.0,2026-09-02_13-17-12_topic_clarification,precision
38,Oil,0.0,2026-09-02_13-17-12_topic_clarification,f1_score
38,Oil,0.0,2026-09-02_13-17-12_topic_clarification,n_labels
36,Coal,1.0,2026-09-02_13-17-12_topic_clarification,accuracy
36,Coal,0.0,2026-09-02_13-17-12_topic_clarification,recall
36,Coal,0.0,2026-09-02_13-17-12_topic_clarification,precision
36,Coal,0.0,2026-09-02_13-17-12_topic_clarification,f1_score
36,Coal,0.0,2026-09-02_13-17-12_topic_clarification,n_labels
35,(Unspecified) fossil fuels,0.96,2026-09-02_13-17-12_topic_clarification,accuracy
35,(Unspecified) fossil fuels,0.0,2026-09-02_13-17-12_topic_clarification,recall
35,(Unspecified) fossil fuels,0.0,2026-09-02_13-17-12_topic_clarification,precision
35,(Unspecified) fossil fuels,0.0,2026-09-02_13-17-12_topic_clarification,f1_score
35,(Unspecified) fossil fuels,1.0,2026-09-02_13-17-12_topic_clarification,n_labels
456,Female,1.0,2026-09-02_13-17-12_topic_clarification,accuracy
456,Female,0.0,2026-09-02_13-17-12_topic_clarification,recall
456,Female,0.0,2026-09-02_13-17-12_topic_clarification,precision
456,Female,0.0,2026-09-02_13-17-12_topic_clarification,f1_score
456,Female,0.0,2026-09-02_13-17-12_topic_clarification,n_labels
455,Diverse,1.0,2026-09-02_13-17-12_topic_clarification,accuracy
455,Diverse,0.0,2026-09-02_13-17-12_topic_clarification,recall
455,Diverse,0.0,2026-09-02_13-17-12_topic_clarification,precision
455,Diverse,0.0,2026-09-02_13-17-12_topic_clarification,f1_score
455,Diverse,0.0,2026-09-02_13-17-12_topic_clarification,n_labels
457,Male,1.0,2026-09-02_13-17-12_topic_clarification,accuracy
457,Male,0.0,2026-09-02_13-17-12_topic_clarification,recall
457,Male,0.0,2026-09-02_13-17-12_topic_clarification,precision
457,Male,0.0,2026-09-02_13-17-12_topic_clarification,f1_score
457,Male,0.0,2026-09-02_13-17-12_topic_clarification,n_labels
454,All genders,0.76,2026-09-02_13-17-12_topic_clarification,accuracy
454,All genders,0.6666666666666666,2026-09-02_13-17-12_topic_clarification,recall
454,All genders,0.8,2026-09-02_13-17-12_topic_clarification,precision
454,All genders,0.7272727272727273,2026-09-02_13-17-12_topic_clarification,f1_score
454,All genders,12.0,2026-09-02_13-17-12_topic_clarification,n_labels
2,2. Governments (Actor),0.84,2026-09-02_13-17-12_topic_clarification,accuracy
2,2. Governments (Actor),0.6,2026-09-02_13-17-12_topic_clarification,recall
2,2. Governments (Actor),0.6,2026-09-02_13-17-12_topic_clarification,precision
2,2. Governments (Actor),0.6,2026-09-02_13-17-12_topic_clarification,f1_score
2,2. Governments (Actor),5.0,2026-09-02_13-17-12_topic_clarification,n_labels
4,4. Civil society (Actor),0.96,2026-09-02_13-17-12_topic_clarification,accuracy
