document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,35,(Unspecified) fossil fuels,True,,,,,False,False,The guide does not discuss fossil fuel use or combustion.,,0.00,0.00,2026-09-02_13-51-46_system_prompt
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,38,Oil,True,,,,,False,False,Petroleum products are not a subject of the guide.,,0.00,0.00,2026-09-02_13-51-46_system_prompt
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,36,Coal,True,,,,,False,False,Coal is not discussed.,,0.00,0.00,2026-09-02_13-51-46_system_prompt
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,37,Natural gas,True,,,,,False,False,Natural gas is not discussed.,,0.00,0.00,2026-09-02_13-51-46_system_prompt
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,457,Male,True,,,,,False,False,The guide does not study or stratify a human population by sex.,,0.00,0.00,2026-09-02_13-51-46_system_prompt
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,456,Female,True,,,,,False,False,The guide does not study or stratify a human population by sex.,,0.00,0.00,2026-09-02_13-51-46_system_prompt
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,455,Diverse,True,,,,,False,False,Gender-diverse populations are not a focus.,,0.00,0.00,2026-09-02_13-51-46_system_prompt
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,454,All genders,True,,,,,True,False,This is a policy guide rather than a study concerning a human population.,,0.00,0.00,2026-09-02_13-51-46_system_prompt
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,1,1. Supranational and international organizations (Actor),True,,,,,False,False,No supranational body is identified as the subject or implementer of the policies.,,0.00,0.00,2026-09-02_13-51-46_system_prompt
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,3,3. Private sector (Actor),True,,,,,False,False,Commercial enterprises are not a substantive focus.,,0.00,0.00,2026-09-02_13-51-46_system_prompt
