document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,36,Coal,True,,,,,False,False,The guide focuses on policies and methods for transitioning to a healthier and more sustainable food system; coal or coal combustion is not a subject of the study.,,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,37,Natural gas,True,,,,,False,False,"The context does not address natural gas, methane, heating, electricity generation, or related fossil-fuel issues.",,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,38,Oil,True,,,,,False,False,"The guide does not concern oil, petroleum products, transport fuels, or industrial oil use.",,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,35,(Unspecified) fossil fuels,True,,,,,False,False,"Although the context discusses sustainability and global challenges, it does not study fossil-fuel use or combustion in general.",,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,457,Male,True,,,,,False,False,The guide does not study or describe male individuals as a sex- or gender-specific population.,,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,456,Female,True,,,,,False,False,The guide does not study or describe female individuals as a sex- or gender-specific population.,,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,454,All genders,True,,,,,True,False,"Although the guide is intended for policymakers, it is a policy and methods guide rather than a study concerning a human population or reporting findings across sexes or genders.",,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,455,Diverse,True,,,,,False,False,"The context does not focus on transgender, non-binary, or other gender-diverse individuals.",,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,5,5. Households / individuals (Actor),True,,,,,False,False,"The guide focuses on policy innovation and methods for policymakers, not on individuals or households as agents or subjects of change.",,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,4,4. Civil society (Actor),True,,,,,False,False,"Although the project involves advocacy and dialogue, non-profit, advocacy, or community-based organisations are not a substantive focus of the guide.",,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,3,3. Private sector (Actor),True,,,,,False,False,Commercial enterprises and industries are not identified as the study's subjects or primary actors; the focus is on policy methods and policymakers.,,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,2,2. Governments (Actor),True,,,,,True,True,"The guide is explicitly intended to equip policymakers and concerns policy innovation for transitioning to a healthier and more sustainable food system, making government bodies a central focus.",meant to ensure that policymakers do not stand in a position where they see the daunting scale of the problem but feel unequipped to deal with it.,0.00,100.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,1,1. Supranational and international organizations (Actor),True,,,,,False,False,"The context mentions Nordic prime ministers and a Nordic project, but does not focus on supranational bodies such as UN agencies, multilateral banks, or intergovernmental organisations coordinating action across nations.",,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,43,Tropical,True,,,,,False,False,The guide concerns food-system policy methods and does not identify equatorial or tropical climates as a study setting or focus.,,0.00,0.00,2026-09-02_17-30-13_topdown_comparison
