document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,36,Coal,True,,,,,False,False,"[self-consistency: 0/2 present]
The study is fundamentally about food policy, sustainable food systems, and policy methods for co-creation and dialogue. Coal is not mentioned, implied, or a subject, setting, exposure, or outcome of the work.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,37,Natural gas,True,,,,,False,False,"[self-consistency: 0/2 present]
The study is fundamentally about food policy, sustainable food systems, and policy methods for co-creation and dialogue. Natural gas is not mentioned, implied, or a subject, setting, exposure, or outcome of the work.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,35,(Unspecified) fossil fuels,True,,,,,False,False,"[self-consistency: 0/2 present]
The study is fundamentally about food policy, sustainable food systems, and policy methods for co-creation and dialogue. Fossil fuels in general are not mentioned, implied, or a subject, setting, exposure, or outcome of the work.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,38,Oil,True,,,,,False,False,"[self-consistency: 0/2 present]
The study is fundamentally about food policy, sustainable food systems, and policy methods for co-creation and dialogue. Oil is not mentioned, implied, or a subject, setting, exposure, or outcome of the work.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,456,Female,True,,,,,False,False,"[self-consistency: 0/2 present]
The document is a policy guide and toolkit for food systems transformation. It does not identify, stratify, or describe female individuals as a study population or in relation to sex-specific health determinants.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,457,Male,True,,,,,False,False,"[self-consistency: 0/2 present]
The document is a policy guide and toolkit for food systems transformation. It does not identify, stratify, or describe male individuals as a study population or in relation to sex-specific health determinants.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,455,Diverse,True,,,,,False,False,"[self-consistency: 0/2 present]
The document does not focus on, include data about, or report results specific to gender-diverse or transgender populations.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,454,All genders,True,,,,,True,False,"[self-consistency: 0/2 present]
The text is purely a policy mechanism guide (describing a flagship project and methods for dialogue) with no human study population. Per the scope note, this label should not be assigned to policy mechanisms that do not concern a human study population, even though policymakers are mentioned as the target audience.",policymakers do not stand in a position where they see the daunting scale of the problem but feel unequipped to deal with it,0.00,100.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,5,5. Households / individuals (Actor),True,,,,,False,False,"[self-consistency: 0/2 present]
The guide focuses on systemic policy change and equipping policymakers; it does not mention individuals or households adopting, deciding, changing behaviour, or practising any action or response.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,2,2. Governments (Actor),True,,,,,True,True,"[self-consistency: 2/2 present]
The study is fundamentally about government-led policy action. It was initiated by Nordic prime ministers (heads of government), produced under a policy lab flagship, and is explicitly aimed at enabling policymakers to enact and guide food system transition.",policymakers do not stand in a position where they see the daunting scale of the problem but feel unequipped to deal with it,0.00,100.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,4,4. Civil society (Actor),True,,,,,False,False,"[self-consistency: 0/2 present]
Although the Nordic Food Policy Lab advocates and stages dialogues, the text does not identify it or any other actor as a non-profit, advocacy group, or community-based organisation carrying out a civil-society response.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,3,3. Private sector (Actor),True,,,,,False,False,"[self-consistency: 0/2 present]
The text contains no mention of commercial enterprises, industries, or business associations innovating, investing, producing, or otherwise implementing measures.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,1,1. Supranational and international organizations (Actor),True,,,,,False,False,"[self-consistency: 0/2 present]
No supranational or international body (e.g., UN agency, multilateral development bank, or intergovernmental organisation) is described as coordinating, funding, setting policy, or implementing programmes in the study. The actors mentioned are Nordic prime ministers and a policy lab.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,40,Dry / arid,True,,,,,False,False,"[self-consistency: 0/2 present]
The text is a food-policy guide centred on the Nordic Food Policy Lab and global dialogue methods. It does not address arid or semi-arid climates as a subject, setting, or focus.",,0.00,0.00,2026-09-02_20-24-32_assorted_fixes_kimi
