attribute_id,attribute_label,value,extraction_run_id,metric_name
36,Coal,1.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,accuracy
36,Coal,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,recall
36,Coal,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,precision
36,Coal,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,f1_score
36,Coal,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,n_labels
37,Natural gas,0.96,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,accuracy
37,Natural gas,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,recall
37,Natural gas,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,precision
37,Natural gas,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,f1_score
37,Natural gas,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,n_labels
35,(Unspecified) fossil fuels,0.96,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,accuracy
35,(Unspecified) fossil fuels,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,recall
35,(Unspecified) fossil fuels,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,precision
35,(Unspecified) fossil fuels,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,f1_score
35,(Unspecified) fossil fuels,1.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,n_labels
38,Oil,1.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,accuracy
38,Oil,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,recall
38,Oil,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,precision
38,Oil,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,f1_score
38,Oil,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,n_labels
456,Female,1.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,accuracy
456,Female,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,recall
456,Female,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,precision
456,Female,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,f1_score
456,Female,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,n_labels
457,Male,1.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,accuracy
457,Male,0.0,2026-09-03_08-08-10_keyword_wordboundary_casematch_abbrev,recall
