prompt,output_data_type,attribute_id,attribute_label,concept_id
Anthracite; Brown coal; Hard coal; Lignite; Thermal coal,bool,36,Coal,DSNY000620
CNG; Fossil gas; Gas; LNG; LPG; Methane gas; Methane-based fuel; fracking gas; fuel gas,bool,37,Natural gas,DSNY000621
Carbon fuels; General fossil fuels; Unspecified fossil fuels; carbon-based fuels; conventional fuels; fossil energy sources; mineral fuels; solid fuels,bool,35,(Unspecified) fossil fuels,DSNY000619
Crude oil; Petrol; Petroleum; diesel; gasoline; kerosene,bool,38,Oil,DSNY000622
Female sex; Females; Girls; Women; Women and girls,bool,456,Female,DSNY000246
Boys; Male sex; Males; Men; Men and boys,bool,457,Male,DSNY000247
All sexes; Any gender; Both sexes; Mixed gender; Total population; Unspecified gender,bool,454,All genders,DSNY000244
Gender diverse; Gender minority; Gender non-conforming; Genderqueer; LGBTQ+; Non-binary; Other gender identity; Transgender,bool,455,Diverse,DSNY000245
Advocacy; Community organisations; NGOs; Non-governmental organisations; Non-profit organisations,bool,4,4. Civil society (Actor),DSNY000165
Citizens; Domestic unit; Family; Household; Individuals,bool,5,5. Households / individuals (Actor),DSNY000166
Business; Commercial organizations; Corporate actors; Corporations; Enterprises; Industry; Private enterprises,bool,3,3. Private sector (Actor),DSNY000164
Governments; Public authorities; State; State institutions,bool,2,2. Governments (Actor),DSNY000163
Global governance bodies; Intergovernmental bodies; International institutions; Multilateral organisations; UN agencies,bool,1,1. Supranational and international organizations (Actor),DSNY000162
Antarctic; Arctic; Ice-cap; Polar region; Tundra,bool,41,Polar,DSNY000654
Arid region; Desert; Dry region; Dryland; Semi-arid; Semi-arid region; Shrubland; Steppe,bool,40,Dry / arid,DSNY000651
Boreal; Continental climate; Mid- and high-latitude climates,bool,39,Continental,DSNY000658
Humid subtropical; Mediterranean; Mid-latitude; Oceanic; Temperate climate; Temperate zone,bool,42,Temperate,DSNY000653
Equatorial; Tropical Monsoon; Tropical Rainforest; Tropical Savanna; Tropical zone; Tropics,bool,43,Tropical,DSNY000652
Domestic level; Household level; Individual level; Micro-level,bool,75,Z_Household / individual (Governance scale),DSNY000135
Cross-country coalitions; Cross-national; Multi-country cooperation; Multinational; Plurilateral,bool,70,International - multi-country (Governance scale),DSNY000229
City-level; Local; Municipal,bool,73,Sub-national - local / municipal (Governance scale),DSNY000132
Country-level; Federal; State-level governance,bool,72,National (Governance scale),DSNY000131
Earth-wide; Planetary scale; Worldwide,bool,69,Global (Governance scale),DSNY000127
Regional bloc; Regional body; World region,bool,71,International - regional (Governance scale),DSNY000128
Administrative region; Devolved region; Province; State-level,bool,74,Sub-national - regional (Governance scale),DSNY000230
Aerosols; Air pollutant particulates; Black carbon; Fine particles; PM10; PM2.5; Particulate air pollution; Soot,bool,23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,DSNY000613
CH4; Methane emissions; Natural gas emissions,bool,20,Methane (CH₄),DSNY000615
CO2-equivalent emissions; GHGs; Heat-trapping gases; Unspecified greenhouse gases,bool,17,(Unspecified) greenhouse gases,DSNY000611
CFCs; HCFCs; Halons; ODSs; Ozone-depleting chemicals; Stratospheric ozone depleters,bool,22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,DSNY000617
CO2; CO2 emissions; Carbon dioxide emissions; Carbon emissions; Fossil carbon dioxide,bool,18,Carbon dioxide (CO₂),DSNY000612
F-gases; Fluorinated greenhouse gases; HFCs; NF3; PFCs; SF6; Synthetic greenhouse gases,bool,19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,DSNY000614
Agricultural greenhouse gas; N2O; Nitrous oxide emissions,bool,21,Nitrous oxide (N₂O),DSNY000616
Ground-level ozone; O3; Ozone pollution; Smog-forming ozone; Surface Ozone,bool,24,Tropospheric ozone (O₃),DSNY000618
Favelas; Shack settlements; Shanty towns; Slums; Squatter settlements; Unauthorised settlements; Unplanned settlements; Unregulated settlements; Urban informality,bool,309,3. Informal settlements,DSNY000511
Peri-urban areas; Rural-urban interface; Suburban fringe; Urban fringe; Urban periphery; Urban-rural fringe,bool,308,2. Peri-urban settlements,DSNY000510
Global cities; Hypercities; Mega-cities; Over 10 million; Very large cities,bool,312,1. Megacities,DSNY000509
Formal cities; Official urban settlements; Planned urban areas; Recognised urban areas,bool,307,1. Formal urban settlements,DSNY000505
"Market towns; Small towns; Small urban centres; Under 100,000; Urban towns",bool,315,4. Towns,DSNY000506
Asylum settlements; Displaced person settlements; Forced displacement settlements; Humanitarian settlements; IDP camps; Internally displaced settlements; Refugee camps,bool,310,4. Refugee/displaced settlements,DSNY000513
"100,000 to 1 million; Medium cities; Mid-sized cities; Urban centres",bool,314,3. Cities,DSNY000507
Countryside communities; Non-urban settlements; Peripheral settlements; Remote settlements; Rural areas; Rural communities; Rural localities; Small settlements; Village settlements,bool,311,5. Rural settlements,DSNY000640
1 million to 10 million; Large cities; Large urban centres; Major cities; Metropolitan cities; Million-plus cities,bool,313,2. Million-cities,DSNY000508
Coastal floods; Flash floods; Flood events; Flooding; Inundation; Riverine floods,bool,30,Floods,DSNY000608
Heat events; Heat waves; Heatwaves; High temperature extremes; Severe heat events,bool,27,Extreme heat,DSNY000607
Cold snaps; Cold spells; Cold waves; Extreme low temperture events; Freezing events; Severe cold events,bool,26,Extreme cold,DSNY000606
Bushfires; Fire events; Forest fires; Landscape fires,bool,33,Wildfires,DSNY000610
Cyclones; Hailstorms; High wind events; Hurricanes; Severe storms; Thunderstorms; Tornadoes; Tropical cyclones; Typhoons; Windstorms,bool,32,Storms and severe wind,DSNY000609
Blizzards; Extreme icing; Freezing rain; Heavy snowfall; Ice storms; Severe snow storms,bool,29,Extreme snow/ice events,DSNY000634
