document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,35,(Unspecified) fossil fuels,True,,,,,False,False,The guide discusses a sustainable food system but does not mention fossil fuels generally.,,0.00,0.00,2026-09-07_17-44-45_pruned_taxonomy
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,36,Coal,True,,,,,False,False,Coal is not discussed.,,0.00,0.00,2026-09-07_17-44-45_pruned_taxonomy
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,37,Natural gas,True,,,,,False,False,Natural gas is not discussed.,,0.00,0.00,2026-09-07_17-44-45_pruned_taxonomy
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,38,Oil,True,,,,,False,False,Oil or petroleum products are not discussed.,,0.00,0.00,2026-09-07_17-44-45_pruned_taxonomy
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,True,,,,,False,False,Ozone-depleting substances are not discussed.,,0.00,0.00,2026-09-07_17-44-45_pruned_taxonomy
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,24,Tropospheric ozone (O₃),True,,,,,False,False,Ground-level ozone and its precursors are not discussed.,,0.00,0.00,2026-09-07_17-44-45_pruned_taxonomy
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,20,Methane (CH₄),True,,,,,False,False,Methane is not discussed.,,0.00,0.00,2026-09-07_17-44-45_pruned_taxonomy
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,17,(Unspecified) greenhouse gases,True,,,,,False,False,Greenhouse gases are not mentioned.,,0.00,0.00,2026-09-07_17-44-45_pruned_taxonomy
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,18,Carbon dioxide (CO₂),True,,,,,False,False,Carbon dioxide is not discussed.,,0.00,0.00,2026-09-07_17-44-45_pruned_taxonomy
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,True,,,,,False,False,Synthetic fluorinated greenhouse gases are not discussed.,,0.00,0.00,2026-09-07_17-44-45_pruned_taxonomy
