attribute_id,attribute_label,value,extraction_run_id,metric_name
35,(Unspecified) fossil fuels,0.96,2026-09-07_17-44-45_pruned_taxonomy,accuracy
35,(Unspecified) fossil fuels,0.0,2026-09-07_17-44-45_pruned_taxonomy,recall
35,(Unspecified) fossil fuels,0.0,2026-09-07_17-44-45_pruned_taxonomy,precision
35,(Unspecified) fossil fuels,0.0,2026-09-07_17-44-45_pruned_taxonomy,f1_score
35,(Unspecified) fossil fuels,1.0,2026-09-07_17-44-45_pruned_taxonomy,n_labels
36,Coal,1.0,2026-09-07_17-44-45_pruned_taxonomy,accuracy
36,Coal,0.0,2026-09-07_17-44-45_pruned_taxonomy,recall
36,Coal,0.0,2026-09-07_17-44-45_pruned_taxonomy,precision
36,Coal,0.0,2026-09-07_17-44-45_pruned_taxonomy,f1_score
36,Coal,0.0,2026-09-07_17-44-45_pruned_taxonomy,n_labels
37,Natural gas,1.0,2026-09-07_17-44-45_pruned_taxonomy,accuracy
37,Natural gas,0.0,2026-09-07_17-44-45_pruned_taxonomy,recall
37,Natural gas,0.0,2026-09-07_17-44-45_pruned_taxonomy,precision
37,Natural gas,0.0,2026-09-07_17-44-45_pruned_taxonomy,f1_score
37,Natural gas,0.0,2026-09-07_17-44-45_pruned_taxonomy,n_labels
38,Oil,1.0,2026-09-07_17-44-45_pruned_taxonomy,accuracy
38,Oil,0.0,2026-09-07_17-44-45_pruned_taxonomy,recall
38,Oil,0.0,2026-09-07_17-44-45_pruned_taxonomy,precision
38,Oil,0.0,2026-09-07_17-44-45_pruned_taxonomy,f1_score
38,Oil,0.0,2026-09-07_17-44-45_pruned_taxonomy,n_labels
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,1.0,2026-09-07_17-44-45_pruned_taxonomy,accuracy
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-07_17-44-45_pruned_taxonomy,recall
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-07_17-44-45_pruned_taxonomy,precision
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-07_17-44-45_pruned_taxonomy,f1_score
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-07_17-44-45_pruned_taxonomy,n_labels
24,Tropospheric ozone (O₃),1.0,2026-09-07_17-44-45_pruned_taxonomy,accuracy
24,Tropospheric ozone (O₃),0.0,2026-09-07_17-44-45_pruned_taxonomy,recall
24,Tropospheric ozone (O₃),0.0,2026-09-07_17-44-45_pruned_taxonomy,precision
24,Tropospheric ozone (O₃),0.0,2026-09-07_17-44-45_pruned_taxonomy,f1_score
24,Tropospheric ozone (O₃),0.0,2026-09-07_17-44-45_pruned_taxonomy,n_labels
20,Methane (CH₄),1.0,2026-09-07_17-44-45_pruned_taxonomy,accuracy
20,Methane (CH₄),1.0,2026-09-07_17-44-45_pruned_taxonomy,recall
20,Methane (CH₄),1.0,2026-09-07_17-44-45_pruned_taxonomy,precision
20,Methane (CH₄),1.0,2026-09-07_17-44-45_pruned_taxonomy,f1_score
20,Methane (CH₄),1.0,2026-09-07_17-44-45_pruned_taxonomy,n_labels
17,(Unspecified) greenhouse gases,0.96,2026-09-07_17-44-45_pruned_taxonomy,accuracy
17,(Unspecified) greenhouse gases,0.0,2026-09-07_17-44-45_pruned_taxonomy,recall
17,(Unspecified) greenhouse gases,0.0,2026-09-07_17-44-45_pruned_taxonomy,precision
17,(Unspecified) greenhouse gases,0.0,2026-09-07_17-44-45_pruned_taxonomy,f1_score
17,(Unspecified) greenhouse gases,0.0,2026-09-07_17-44-45_pruned_taxonomy,n_labels
18,Carbon dioxide (CO₂),1.0,2026-09-07_17-44-45_pruned_taxonomy,accuracy
18,Carbon dioxide (CO₂),1.0,2026-09-07_17-44-45_pruned_taxonomy,recall
18,Carbon dioxide (CO₂),1.0,2026-09-07_17-44-45_pruned_taxonomy,precision
18,Carbon dioxide (CO₂),1.0,2026-09-07_17-44-45_pruned_taxonomy,f1_score
18,Carbon dioxide (CO₂),1.0,2026-09-07_17-44-45_pruned_taxonomy,n_labels
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,1.0,2026-09-07_17-44-45_pruned_taxonomy,accuracy
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-07_17-44-45_pruned_taxonomy,recall
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-07_17-44-45_pruned_taxonomy,precision
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-07_17-44-45_pruned_taxonomy,f1_score
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-07_17-44-45_pruned_taxonomy,n_labels
