attribute_id,attribute_label,value,extraction_run_id,metric_name
36,Coal,1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,accuracy
36,Coal,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,recall
36,Coal,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,precision
36,Coal,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,f1_score
36,Coal,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,n_labels
35,(Unspecified) fossil fuels,0.96,2026-09-09_09-59-56_pruned_taxonomy_topdown,accuracy
35,(Unspecified) fossil fuels,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,recall
35,(Unspecified) fossil fuels,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,precision
35,(Unspecified) fossil fuels,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,f1_score
35,(Unspecified) fossil fuels,1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,n_labels
38,Oil,1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,accuracy
38,Oil,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,recall
38,Oil,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,precision
38,Oil,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,f1_score
38,Oil,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,n_labels
37,Natural gas,1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,accuracy
37,Natural gas,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,recall
37,Natural gas,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,precision
37,Natural gas,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,f1_score
37,Natural gas,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,n_labels
17,(Unspecified) greenhouse gases,1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,accuracy
17,(Unspecified) greenhouse gases,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,recall
17,(Unspecified) greenhouse gases,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,precision
17,(Unspecified) greenhouse gases,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,f1_score
17,(Unspecified) greenhouse gases,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,n_labels
18,Carbon dioxide (CO₂),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,accuracy
18,Carbon dioxide (CO₂),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,recall
18,Carbon dioxide (CO₂),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,precision
18,Carbon dioxide (CO₂),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,f1_score
18,Carbon dioxide (CO₂),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,n_labels
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,accuracy
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,recall
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,precision
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,f1_score
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,n_labels
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,accuracy
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,recall
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,precision
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,f1_score
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,n_labels
20,Methane (CH₄),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,accuracy
20,Methane (CH₄),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,recall
20,Methane (CH₄),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,precision
20,Methane (CH₄),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,f1_score
20,Methane (CH₄),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,n_labels
21,Nitrous oxide (N₂O),1.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,accuracy
21,Nitrous oxide (N₂O),0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,recall
21,Nitrous oxide (N₂O),0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,precision
21,Nitrous oxide (N₂O),0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,f1_score
21,Nitrous oxide (N₂O),0.0,2026-09-09_09-59-56_pruned_taxonomy_topdown,n_labels
