document_id,external_id,document_name,attribute_id,attribute_label,attribute_presence,human_additional_text,item_attribute_full_text_details,citation_page,citation_highlight_text,human_extraction,llm_extraction,llm_reasoning,llm_verbatim_text,human_verbatim_fuzzy_match_pct,llm_verbatim_fuzzy_match_pct,extraction_run_id
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,38,Oil,True,,,,,False,False,The guide concerns food-system policy methods and does not discuss oil or petroleum products.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,36,Coal,True,,,,,False,False,"Coal is not a subject, exposure, or intervention discussed in the context.",,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,37,Natural gas,True,,,,,False,False,Natural gas or methane-based fossil fuel use is not discussed.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,35,(Unspecified) fossil fuels,True,,,,,False,False,"The context focuses on policy dialogue and methods for a healthier, more sustainable food system, without referring to fossil fuel use or combustion.",,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,21,Nitrous oxide (N₂O),True,,,,,False,False,The guide does not discuss nitrous oxide emissions or their agricultural sources.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,17,(Unspecified) greenhouse gases,True,,,,,False,False,"Although the guide concerns a sustainable food-system transition, greenhouse gases are not identified as a substantive subject.",,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,24,Tropospheric ozone (O₃),True,,,,,False,False,Ground-level ozone and its health effects are not discussed.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,18,Carbon dioxide (CO₂),True,,,,,False,False,"Carbon dioxide is not discussed as an exposure, emission, or policy focus.",,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,True,,,,,False,False,Particulate matter or related respiratory and cardiovascular effects are not discussed.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,20,Methane (CH₄),True,,,,,False,False,Methane emissions from food production or other sources are not discussed.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,True,,,,,False,False,Ozone-depleting substances and Montreal Protocol controls are not discussed.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,True,,,,,False,False,Synthetic fluorinated greenhouse gases are not discussed.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,29,Extreme snow/ice events,True,,,,,False,False,The guide concerns food-system policy methods and does not address severe snow or ice conditions.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,34,Z_(Unspecified) extreme weather events,True,,,,,False,False,No unspecified extreme weather events or climate extremes are a subject of the guide.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,28,Extreme precipitation,True,,,,,False,False,"Extreme precipitation is not discussed as an exposure, hazard, or focus.",,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,25,Droughts,True,,,,,False,False,The context does not address drought or prolonged water deficits.,,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,26,Extreme cold,True,,,,,False,False,"Extreme cold, cold snaps, and associated health effects are not discussed.",,0.00,0.00,2026-09-09_10-01-17_pruned_taxonomy_topdown_sol
