attribute_id,attribute_label,value,extraction_run_id,metric_name
37,Natural gas,1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,accuracy
37,Natural gas,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,recall
37,Natural gas,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,precision
37,Natural gas,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,f1_score
37,Natural gas,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,n_labels
36,Coal,1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,accuracy
36,Coal,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,recall
36,Coal,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,precision
36,Coal,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,f1_score
36,Coal,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,n_labels
35,(Unspecified) fossil fuels,1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,accuracy
35,(Unspecified) fossil fuels,1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,recall
35,(Unspecified) fossil fuels,1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,precision
35,(Unspecified) fossil fuels,1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,f1_score
35,(Unspecified) fossil fuels,1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,n_labels
38,Oil,1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,accuracy
38,Oil,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,recall
38,Oil,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,precision
38,Oil,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,f1_score
38,Oil,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,n_labels
18,Carbon dioxide (CO₂),1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,accuracy
18,Carbon dioxide (CO₂),1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,recall
18,Carbon dioxide (CO₂),1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,precision
18,Carbon dioxide (CO₂),1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,f1_score
18,Carbon dioxide (CO₂),1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,n_labels
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,accuracy
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,recall
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,precision
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,f1_score
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,n_labels
24,Tropospheric ozone (O₃),1.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,accuracy
24,Tropospheric ozone (O₃),0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,recall
24,Tropospheric ozone (O₃),0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,precision
24,Tropospheric ozone (O₃),0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,f1_score
24,Tropospheric ozone (O₃),0.0,2026-09-09_10-03-55_pruned_taxonomy_topdown_k26,n_labels
