attribute_id,attribute_label,value,extraction_run_id,metric_name
36,Coal,1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
36,Coal,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
36,Coal,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
36,Coal,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
36,Coal,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
35,(Unspecified) fossil fuels,0.96,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
35,(Unspecified) fossil fuels,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
35,(Unspecified) fossil fuels,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
35,(Unspecified) fossil fuels,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
35,(Unspecified) fossil fuels,1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
38,Oil,1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
38,Oil,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
38,Oil,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
38,Oil,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
38,Oil,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
37,Natural gas,0.96,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
37,Natural gas,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
37,Natural gas,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
37,Natural gas,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
37,Natural gas,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
17,(Unspecified) greenhouse gases,1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
17,(Unspecified) greenhouse gases,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
17,(Unspecified) greenhouse gases,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
17,(Unspecified) greenhouse gases,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
17,(Unspecified) greenhouse gases,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
24,Tropospheric ozone (O₃),1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
24,Tropospheric ozone (O₃),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
24,Tropospheric ozone (O₃),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
24,Tropospheric ozone (O₃),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
24,Tropospheric ozone (O₃),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
18,Carbon dioxide (CO₂),0.96,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
18,Carbon dioxide (CO₂),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
18,Carbon dioxide (CO₂),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
18,Carbon dioxide (CO₂),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
18,Carbon dioxide (CO₂),1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,0.84,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,0.4,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,0.6666666666666666,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,0.5,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,5.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
21,Nitrous oxide (N₂O),1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
21,Nitrous oxide (N₂O),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
21,Nitrous oxide (N₂O),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
21,Nitrous oxide (N₂O),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
21,Nitrous oxide (N₂O),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
20,Methane (CH₄),0.96,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
20,Methane (CH₄),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
20,Methane (CH₄),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
20,Methane (CH₄),0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
20,Methane (CH₄),1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
30,Floods,0.96,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
30,Floods,0.6666666666666666,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
30,Floods,1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
30,Floods,0.8,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
30,Floods,3.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
27,Extreme heat,0.96,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
27,Extreme heat,0.5,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
27,Extreme heat,1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
27,Extreme heat,0.6666666666666666,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
27,Extreme heat,2.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
32,Storms and severe wind,0.88,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
32,Storms and severe wind,0.25,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
32,Storms and severe wind,1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
32,Storms and severe wind,0.4,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
32,Storms and severe wind,4.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,n_labels
25,Droughts,1.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,accuracy
25,Droughts,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,recall
25,Droughts,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,precision
25,Droughts,0.0,2026-09-09_10-04-37_pruned_taxonomy_keywords,f1_score
