prompt,output_data_type,attribute_id,attribute_label,concept_id
Anthracite; Brown coal; Hard coal; Lignite; Thermal coal,bool,36,Coal,DSNY000620
Carbon fuels; General fossil fuels; Unspecified fossil fuels; carbon-based fuels; conventional fuels; fossil energy sources; mineral fuels; solid fuels,bool,35,(Unspecified) fossil fuels,DSNY000619
Crude oil; Petrol; Petroleum; diesel; gasoline; kerosene,bool,38,Oil,DSNY000622
CNG; Fossil gas; Gas; LNG; LPG; Methane gas; Methane-based fuel; fracking gas; fuel gas,bool,37,Natural gas,DSNY000621
CO2-equivalent emissions; GHGs; Heat-trapping gases; Unspecified greenhouse gases,bool,17,(Unspecified) greenhouse gases,DSNY000611
Ground-level ozone; O3; Ozone pollution; Smog-forming ozone; Surface Ozone,bool,24,Tropospheric ozone (O₃),DSNY000618
CFCs; HCFCs; Halons; ODSs; Ozone-depleting chemicals; Stratospheric ozone depleters,bool,22,Ozone-depleting substances / chlorofluorocarbons / hydrochlorofluorocarbons / halons / carbon tetrachloride / methyl chloroform,DSNY000617
CO2; CO2 emissions; Carbon dioxide emissions; Carbon emissions; Fossil carbon dioxide,bool,18,Carbon dioxide (CO₂),DSNY000612
Aerosols; Air pollutant particulates; Black carbon; Fine particles; PM10; PM2.5; Particulate air pollution; Soot,bool,23,Particulate matter (PM10) / fine particulate matter (PM2.5) / black/organic carbon / sulfate/nitrate aerosols,DSNY000613
Agricultural greenhouse gas; N2O; Nitrous oxide emissions,bool,21,Nitrous oxide (N₂O),DSNY000616
F-gases; Fluorinated greenhouse gases; HFCs; NF3; PFCs; SF6; Synthetic greenhouse gases,bool,19,Fluorinated gases / hydrofluorocarbons / perfluorocarbons / sulfur hexafluoride / nitrogen trifluoride,DSNY000614
CH4; Methane emissions; Natural gas emissions,bool,20,Methane (CH₄),DSNY000615
Coastal floods; Flash floods; Flood events; Flooding; Inundation; Riverine floods,bool,30,Floods,DSNY000608
Heat events; Heat waves; Heatwaves; High temperature extremes; Severe heat events,bool,27,Extreme heat,DSNY000607
Cyclones; Hailstorms; High wind events; Hurricanes; Severe storms; Thunderstorms; Tornadoes; Tropical cyclones; Typhoons; Windstorms,bool,32,Storms and severe wind,DSNY000609
Arid conditions; Drought conditions; Water scarcity events,bool,25,Droughts,DSNY000605
Bushfires; Fire events; Forest fires; Landscape fires,bool,33,Wildfires,DSNY000610
Dust aerosol events; Dust events; Dust storms; Sand storms; Sandstorms,bool,31,Sand and dust storms,DSNY000635
Extreme precipitation events; Extreme rainfall; Heavy rainfall,bool,28,Extreme precipitation,DSNY000633
Blizzards; Extreme icing; Freezing rain; Heavy snowfall; Ice storms; Severe snow storms,bool,29,Extreme snow/ice events,DSNY000634
General climate extremes; Non-specific extreme weather; Unspecified extreme weather,bool,34,Z_(Unspecified) extreme weather events,DSNY000604
Cold snaps; Cold spells; Cold waves; Extreme low temperture events; Freezing events; Severe cold events,bool,26,Extreme cold,DSNY000606
Ancillary benefits; Co-benefits of mitigation; Health co-benefits; Mitigation co-benefits; Side benefits; Triple wins,bool,496,Co-Benefits,DSNY000491
Climate mitigation; Emissions reduction; GHG mitigation; GHG reduction,bool,489,Mitigation,DSNY000051
Adaptation strategy; Anticipatory action; Disaster preparedness; Emergency preparedness; Emergency response plans; Readiness; Risk preparedness; Warning systems,bool,491,Preparedness,DSNY000639
Ability to recover; Adaptive capacity; Bounce-back capability; Climate-readiness; Coping capacity; Robustness; Transformative capacity,bool,492,Resilience,DSNY000638
Anticipated impact; Climate projections; Future climate impact; Future risk; Projected climate effects; Projected impact; Scenario-based impact,bool,494,Future impact,DSNY000493
Climate-related losses; Irreversible impacts; L&D; NELD; Non-economic loss and damage; Residual impact; Unavoidable impacts,bool,495,Loss and damage,DSNY000492
Causal attribution; Climate attribution; Event attribution,bool,493,Attribution,DSNY000054
Climate consequences; Climate effects; Climate impact; Effects of climate change,bool,488,Impact,DSNY000053
Adaptive failure; Counterproductive adaptation; Failed adaptation; Mal-adaptation; Maladaptive action; Negative adaptation outcomes; Unintended adaptation consequences,bool,490,Maladaptation,DSNY000490
Adaptation action; Adaptive capacity; Adaptive response; Climate adaptation; Climate adjustment; Coping capacity; Preparedness; Resilience; Vulnerability reduction,bool,487,Adaptation,DSNY000052
Unspecified weather change; Weather pattern shifts; Weather variability,bool,6,(Unspecified) changes in weather,DSNY000596
Phenological change; Season length change; Seasonal shift,bool,13,Changes in season length,DSNY000601
Atmospheric moisture change; Humidity change; Humidity variability; Relative humidity shifts,bool,9,Changes in humidity,DSNY000598
Changes in freshwater systems; Changes in inland hydrology; Freshwater systems change; Inland water dynamics,bool,10,Changes in inland water bodies,DSNY000632
Wind pattern change; Wind regime changes; Wind variability,bool,15,Changes in wind speed,DSNY000603
Coastal inundation; Ocean level rise; Sea level change; Sea level rise; Sea level variability,bool,12,Changes in sea level,DSNY000600
Cryosphere change; Glacial mass loss; Glacier melt; Glacier retreat; Snow cover changes; Snowmelt,bool,8,Changes in glacier / snow melt,DSNY000597
Altered precipitation patterns; Changes in rainfall; Precipitation anomalies; Precipitation variability; Rainfall change,bool,11,Changes in precipitation,DSNY000599
Atmospheric warming; Climate breakdown; Climate crisis; Climate disruption; Climate emergency; Earth warming; General climate change; Global heating; Global warming; Planetary warming; Rising global temperatures; Unspecified climate change,bool,7,(Unspecified) climate change,DSNY000595
Cimate trends; Climate alteration; Climate anomalies; Climate fluctuations; Climate instability; Climate shifts; Climate variation; Climatic oscillations; Climatic variation; El Niño ((Southern Oscillation/ENSO); La Niña; North Atlantic Oscillation,bool,16,Climate variability,DSNY000623
Temperature anomalies; Temperature change; Temperature shift; Temperature trends; Temperature variability; Warming,bool,14,Changes in temperature,DSNY000602
