document_id,external_id,name,file_path
2936,00433f83-2348-4737-a9f5-9da1c856aa95,Setting the table – a story of food policy innovation,
5842,0229924d-5f8d-42e3-9e16-912b985b3c39,EFFECT OF SOIL TEMPERATURE ON RESPONSE OF FLAX TO PHOSPHORUS AND ZINC FERTILIZERS,
4760350599,0a3fe18f-7f7d-4f1b-91e7-20984f463ae9,Larval Distributions and breeding habitats of Aedes aegypti and Ae. albopictus in Kuala Terengganu.,
1102967171,0a5f97bd-ef18-455d-9bd2-9e860c1bb1ed,"Assessment of Future Flood Hazards for Southeastern Texas: Synthesizing Subsidence, Sea‐Level Rise, and Storm Surge Scenarios",
995721,0d65620b-433a-4b18-b5c7-11dba43d061b,Ambient Air Pollution and All-Cause and Cause-Specific Mortality in an Analysis of Asian Cohorts.,
90552,0e969057-0e70-4992-a9d1-e707dd1170fa,Spatial and temporal patterns of dengue incidence in northeastern Thailand 2006–2016,
34099311,0e9def7a-8517-4636-876a-06f73e6232f8,Reply on RC2,
3237284,12604ce2-c3c1-4dd7-9a9f-e533e5c4be06,Air Quality Prediction using Machine Learning: A Data-Driven Study of Ambient Pollutants in Delhi,
4871,1352a42c-e6ba-4af0-9e47-0985f6ba8587,Pilot-Scale Investigation of Passive Methane Oxidation System Materials Performance under Seasonal Temperature Variations,
923745812,1816abd9-f6a9-46e4-9180-545dcaa47e22,Water Footprint Methodology and Its Role in Agricultural Water Management,
82855,183e69bd-46ed-4001-a8e4-05b0670299ad,,
473525752,1984bc23-a09f-406b-a4d9-3d256d282fdd,Effect of Temperature Thresholds on Modeled Aedes aegypti (Diptera: Culicidae) Population Dynamics,
5700156,1df69448-1bb8-4d93-a932-91f528217859,,
4595111,20a31938-b314-4a8f-ad2d-134ddf796b54,,
747982,20b3edce-53d5-4d2f-bc3c-8bedc5f44c18,PM10 Time Series Forecasting Using Variational Mode Decomposition Informer,
10988066,2111d5e5-4ece-442c-a1c7-a5ba9321ee95,Evaluating the Impact of the Spatial Resolution of Digital Elevation Models on Flood Modelling,
1947028944,216356f8-e9cb-4d51-bdb4-113f490c7285,Lung cancer and the petroleum industry in Louisiana.,
207894680,2617a3ba-840b-4954-abaa-2d0e34197ae1,Antibiotic Resistant Escherichia coli (E. coli) in Minneopa Creek Collected During Two Storm Events in 2017,
8532318,2993b81d-f68f-4f00-92d9-3185767efa9f,"Fate and Transport of PPCPs in the Environment: A Review on Occurrences, Sources, and Cases",
161462256,2fa2d46b-855d-4ccb-a757-58796eabcece,"Exposure to barbeque smoke in Vientiane, Lao PDR: Gendered disparities and unequal exposures for grillers",
48050829,3397c52b-5aa3-43e4-bc75-c1224df8134d,Influence of the temperature factor in the Far North on meteosensitive patients with arterial hypertension,
397962,351073ca-f9dc-4f7d-b4d1-4391f45b9512,Cropland soils in China have a large potential for carbon sequestration based on literature survey,
564388173,3681ad4d-0f62-4fa7-a36a-85138411213e,Horticultural Reviews Volume 41,
4836384,369fa13f-6c7c-41f9-984e-5f518435d26e,,
721594,3787a425-ddfc-49b0-b9e9-e6c7b3b6a78e,"Extreme temperatures and emergency department admissions for childhood asthma in Brisbane, Australia",
19956,38d2a95a-43e4-4dcc-be5f-6cf1baf94452,"Determination Of Heavy Metals and Radon Concentration in Soil and Water Samples from Wadi-B Jere Oil Exploration Sites in Maiduguri, Northeast Nigeria",
9392410,3d1b69c4-4443-473d-9757-2025bed395e1,TRANSPORTATION AND QUALITY OF LIFE,
22339,3d63f91c-fdd7-45c1-be82-a5252d727499,Significance of dietary sulphur and sulphate reducing bacteria in lactating dairy cattle: A review,
3851,3d6b40a8-273a-4d99-8511-08858012a59f,Introduction: human rights and climate change,
6273,433a84c6-8054-415f-a656-915bd1427810,"An Assessment of Carbon Pools, Storage, and Wood Products Market Substitution Using Life-Cycle Analysis Results",
45858,498f8d2f-abbb-4a08-ba43-4c51d576a32c,Constructed Wetlands Lessons from Three Middle East Countries : The Effect of Plants and Filter Media on CW Performance,
430072,4d50bf21-84cb-4dde-8b94-23ef0c113573,Tapping into the potential of okra (Abelmoschus spp.) in Africa: integrating value-added traits into breeding,
698731864,4da68034-ce9b-421f-bb20-705689adeafe,Storm-induced stress and mortality of juvenile black tiger shrimp Penaeus monodon during intermediate culture for stock enhancement,
1743198,4df7c95b-fafb-48bc-9a49-02c8a0a567cd,塑化建材、2-乙基己醇及微生物共存環境與病態大樓症候群的關係,
811603306,4e1df7ac-6b0f-46e2-9383-ede936ccba18,"Bioretention System: Conception, Implementation, and Instrumentation of Three Different Models in São Paulo, Brazil",
93858,4e7da8ca-0c90-4755-b2ec-a66c21d44711,Acute effects of air pollution on respiratory health of 50-70 yr old adults,
3169228412,51e1a4ac-6b13-465b-963c-ec3c9228c2c4,A Hybrid Convolutional Neural Network-Temporal Attention Mechanism Approach for Real-Time Prediction of Soil Moisture and Temperature in Precision Agriculture,
19562,532fb005-d886-40f6-aa74-2726c55b4d0d,Pacific cod or tikhookeanskaya treska (Gadus macrocephalus) in the Chukchi Sea during recent warm years: Distribution by life stage and age-0 diet and condition,
417124,545e0a55-2c08-4d9b-8a03-cecfd3b23300,NO2 and Cancer Incidence in Saudi Arabia,
8295,56b323f4-b2b2-4519-83af-8a0f6161a8c0,"Climate Change Adaptation and Mitigation in Ecosystems - Benefits, Barriers and Decision‐Making",
944162543,5e1bac3a-8145-4d28-9ff6-5166ab310f67,Harnessing Generative AI for Photovoltaic Systems to Enhance Safety Features of Tailored Industrial Solar Solutions,
8209,60732d3b-aa75-4a37-87f1-0e7c6e989015,"West Nile virus infections in Romania - past, present and perspective.",
6099,655d758c-eaea-4ff9-b3b4-c84e051887e9,Ocean Acidification as a Governance Challenge in the Mediterranean Sea: Impacts from Aquaculture and Fisheries,
6572,666d0a09-e21a-4000-9239-4aa1c714f9b4,Disaster and Emergency Crisis Management Communication,
577053504,679e5e31-9b8f-4a98-a65e-9193a57f4caa,Beat the heat,
2251477,67ee0971-6ad8-4396-9211-6067fd1bb68a,,
2313805,6d159ba4-821c-4f13-aba6-f55dc14caeb0,"Risk assessment of the Sedongpu high-altitude and ultra-long-runout landslide in the lower Yarlung Zangbo River, China",
91277692,6ffccfd2-f69b-490f-98dc-cf8a96881294,Climate Change and Litigation: Human Rights as a Tool for Climate Justice,
372944397,718738b4-5884-4189-a5db-e53306da1d54,"Effect of motor vehicle pollution on lung function, fractional exhaled nitric oxide and cognitive function among school adolescents.",
