prompt,output_data_type,attribute_id,attribute_label
,integer,0,excl|1
,integer,1,k_actors|0
,integer,2,k_actors|1
,integer,3,k_actors|2
,integer,4,k_actors|3
,integer,5,k_actors|4
,integer,6,k_climate-factors-climate-drivers-variability|0
,integer,7,k_climate-factors-climate-drivers-variability|1
,integer,8,k_climate-factors-climate-drivers-variability|2
,integer,9,k_climate-factors-climate-drivers-variability|3
,integer,10,k_climate-factors-climate-drivers-variability|4
,integer,11,k_climate-factors-climate-drivers-variability|5
,integer,12,k_climate-factors-climate-drivers-variability|6
,integer,13,k_climate-factors-climate-drivers-variability|7
,integer,14,k_climate-factors-climate-drivers-variability|8
,integer,15,k_climate-factors-climate-drivers-variability|9
,integer,16,k_climate-factors-climate-drivers-variability|10
,integer,17,k_climate-factors-climate-forcing-agents|0
,integer,18,k_climate-factors-climate-forcing-agents|1
,integer,19,k_climate-factors-climate-forcing-agents|2
,integer,20,k_climate-factors-climate-forcing-agents|3
,integer,21,k_climate-factors-climate-forcing-agents|4
,integer,22,k_climate-factors-climate-forcing-agents|5
,integer,23,k_climate-factors-climate-forcing-agents|6
,integer,24,k_climate-factors-climate-forcing-agents|7
,integer,25,k_climate-factors-extreme-weather-events|0
,integer,26,k_climate-factors-extreme-weather-events|1
,integer,27,k_climate-factors-extreme-weather-events|2
,integer,28,k_climate-factors-extreme-weather-events|3
,integer,29,k_climate-factors-extreme-weather-events|4
,integer,30,k_climate-factors-extreme-weather-events|5
,integer,31,k_climate-factors-extreme-weather-events|6
,integer,32,k_climate-factors-extreme-weather-events|7
,integer,33,k_climate-factors-extreme-weather-events|8
,integer,34,k_climate-factors-extreme-weather-events|9
,integer,35,k_climate-factors-fossil-fuels|0
,integer,36,k_climate-factors-fossil-fuels|1
,integer,37,k_climate-factors-fossil-fuels|2
,integer,38,k_climate-factors-fossil-fuels|3
,integer,39,k_climate-zones|0
,integer,40,k_climate-zones|1
,integer,41,k_climate-zones|2
,integer,42,k_climate-zones|3
,integer,43,k_climate-zones|4
