prefix,term,df,ttf
zoonos,zoonosis,19568,23057
zoonos,zoonoses,15319,23045
zoonos,zoonose,3323,3717
zoonos,zoonosen,591,736
zoonos,zoonosi,342,402
zoonos,zoonoseerreger,82,100
zoonos,zoonoseerregern,61,73
zoonos,zoonosico,57,68
zoonos,zoonoser,40,59
zoonos,zoonosica,32,34
zoonos,zoonosici,29,31
zoonos,zoonos,26,27
zoonos,zoonosa,25,28
zoonos,zoonoserisiko,15,19
zoonos,zoonosicas,15,15
zoonos,zoonosique,14,17
zoonos,zoonosic,13,16
zoonos,zoonosiche,10,10
zoonos,zoonostic,8,9
zoonos,zoonoseverwekkers,7,9
zoonos,zoonosicos,7,13
zoonos,zoonosenerhebung,6,6
zoonos,zoonosepotenzial,6,6
zoonos,zoonoseerregers,5,5
zoonos,zoonosenforschung,5,5
zoonos,zoonosepotential,4,5
zoonos,zoonosises,4,4
zoonos,zoonosismags,4,8
zoonos,zoonosisok,4,4
zoonos,zoonosisi,3,3
zoonos,zoonosisnya,3,3
zoonos,zoonosecharakter,2,2
zoonos,zoonoseerregerdiagnostik,2,2
zoonos,zoonoseesp,2,2
zoonos,zoonosenachweis,2,2
zoonos,zoonosenbek,2,2
zoonos,zoonosenerregern,2,2
zoonos,zoonosenmonitoring,2,2
zoonos,zoonosenplattform,2,2
zoonos,zoonosenseltene,2,2
zoonos,zoonosepotentials,2,2
zoonos,zoonoseregistret,2,2
zoonos,zoonoserisiken,2,2
zoonos,zoonosescommunicable,2,2
zoonos,zoonosiques,2,2
zoonos,zoonosist,2,2
zoonos,zoonosologie,2,2
zoonos,zoonosrisk,2,2
zoonos,zoonostur,2,2
zoonos,zoonosal,1,1
zoonos,zoonosaspekterna,1,1
zoonos,zoonosaurus,1,1
zoonos,zoonoscici,1,1
zoonos,zoonoscs,1,1
zoonos,zoonoseando,1,1
zoonos,zoonoseausbr,1,1
zoonos,zoonosecene,1,1
zoonos,zoonosecenters,1,1
zoonos,zoonosecharakteranimalermrs,1,1
zoonos,zoonosed,1,1
zoonos,zoonosediagnostik,1,1
zoonos,zoonosedue,1,1
zoonos,zoonoseereignisse,1,1
zoonos,zoonosef,1,1
zoonos,zoonoseforschung,1,1
zoonos,zoonosegefahr,1,1
zoonos,zoonosegeschehen,1,1
zoonos,zoonosemonitoring,1,1
zoonos,zoonosenbericht,1,1
zoonos,zoonosene,1,2
zoonos,zoonosenerreger,1,1
zoonos,zoonosenfrage,1,1
zoonos,zoonosennachweis,1,1
zoonos,zoonosenrichtlinie,1,1
zoonos,zoonosenrisico,1,1
zoonos,zoonosensymposium,1,1
zoonos,zoonosenviral,1,1
zoonos,zoonosepotenzials,1,1
zoonos,zoonoseregern,1,1
zoonos,zoonoseregisteret,1,1
zoonos,zoonoserelevanter,1,1
zoonos,zoonoserisikos,1,1
zoonos,zoonoserregern,1,1
zoonos,zoonosers,1,1
zoonos,zoonosesa,1,1
zoonos,zoonosesborrelia,1,1
zoonos,zoonosesbritish,1,1
zoonos,zoonosescontrol,1,1
zoonos,zoonosesda,1,1
zoonos,zoonosesdo,1,1
zoonos,zoonosesemerged,1,1
zoonos,zoonosesespecial,1,1
zoonos,zoonosesetiological,1,1
zoonos,zoonosesevaluation,1,1
zoonos,zoonosesf,1,1
zoonos,zoonosesinflammatory,1,1
zoonos,zoonosesis,1,1
zoonos,zoonosesituationen,1,1
zoonos,zoonosesmethodsthe,1,1
zoonos,zoonosesmicrosporidia,1,1
wound,wound,478783,988800
wound,wounds,173159,295865
wound,wounded,52073,71044
wound,wounding,21664,32879
wound,woundedness,405,550
wound,woundhealing,358,388
wound,woundcare,146,185
wound,woundings,124,184
wound,woundwort,73,85
wound,woundinfection,53,56
wound,woundes,42,44
wound,woundless,41,47
wound,wounde,34,35
wound,woundfin,29,88
wound,wounder,28,52
wound,woundmaker,25,25
wound,woundinduced,23,24
wound,woundstat,21,54
wound,woundsjournal,20,20
wound,woundwood,19,26
wound,woundsand,18,19
wound,woundinfections,17,20
wound,woundplast,17,25
wound,wounderfull,16,16
wound,woundsof,16,16
wound,wounddressing,15,15
wound,woundexpert,15,15
wound,wounddehiscence,14,14
wound,woundin,14,14
wound,woundt,14,15
wound,wounda,13,13
wound,woundclosure,13,13
wound,woundeds,13,23
wound,woundrelated,13,13
wound,woundbed,12,12
wound,woundthese,12,12
wound,woundc,11,11
wound,woundfor,11,11
wound,woundi,11,11
wound,woundvision,11,21
wound,woundambit,10,17
wound,woundcarenet,10,10
wound,wounddressings,10,11
wound,wounderful,10,10
wound,woundod,10,12
wound,woundsin,10,10
wound,woundswest,10,17
wound,woundy,10,13
wound,woundability,9,9
wound,woundetl,9,9
wound,woundmanagement,9,12
wound,woundand,8,8
wound,woundarea,8,8
wound,woundclot,8,17
wound,woundingly,8,8
wound,woundology,8,17
wound,woundable,7,7
wound,woundcarestrategies,7,7
wound,woundingshowing,7,7
wound,woundmonitor,7,7
wound,woundrotor,7,7
wound,woundscapes,7,9
wound,woundscellular,7,7
wound,woundcarejournal,6,6
wound,woundchek,6,7
wound,woundcomplications,6,6
wound,woundedly,6,6
wound,woundefiraw,6,6
wound,woundeil,6,7
wound,wounders,6,7
wound,woundeu,6,7
wound,woundmodel,6,6
wound,woundof,6,6
wound,woundpedia,6,9
wound,woundrepair,6,6
wound,woundrous,6,6
wound,woundsthe,6,7
wound,woundswere,6,7
wound,woundthat,6,6
wound,woundthe,6,7
wound,woundtreatment,6,7
wound,woundvac,6,9
wound,woundworts,6,11
wound,woundedand,5,5
wound,woundinducible,5,5
wound,woundlike,5,5
wound,woundon,5,5
wound,woundpain,5,6
wound,woundqol,5,5
wound,woundsas,5,5
wound,woundsby,5,5
wound,woundsinternational,5,5
wound,woundsite,5,5
wound,woundsource,5,6
wound,woundsthat,5,5
wound,woundtherapy,5,5
wound,woundview,5,15
wound,woundcd,4,5
wound,woundcomp,4,5
wound,woundcontraction,4,4
wildfire,wildfire,47660,98683
wildfire,wildfires,35960,56688
wildfire,wildfirerisk,22,22
