,,Count (#nofilter),Count (w/ abstract),Count (excl xpac),"Count (w/ abstract, excl xpac)","Count (excl xpac, 1990–2024)","Count (excl xpac, 1990–2024, language:en)"
CLIMATE,General climate change,2942181,2523259,2380946,2165341,1987312,1882398
CLIMATE,Greenhouse gasses,6233526,5602586,5300923,4795540,4220128,3925326
CLIMATE,Climate variability,13145487,12571595,10337430,9881635,7513844,7169999
CLIMATE,Complex climate indices,3157382,2715649,2460294,2164679,2038561,1911941
CLIMATE,Fossil fuels,3454838,2912266,2954021,2618859,2436079,2275037
CLIMATE,Climate forcers production,21495648,19463742,17104909,15670997,13917071,12798312
CLIMATE,Mitigation,7458295,6302066,6135473,5659540,4731059,4468545
HEALTH,General health terms,23971934,20588972,21205290,18273103,17297206,15970985
HEALTH,General health outcomes,23521703,20939043,21356012,19069632,17747493,16690445
HEALTH,Nutrition/food quality,4210485,3682273,3732949,3262470,3145269,2851227
HEALTH,Cardio-vascular,5101715,4479377,4759749,4190959,3948974,3703137
HEALTH,Renal health,10252607,8657167,9634359,8180810,7952241,7516587
HEALTH,Effects of temperature extremes,2243229,2049662,2077078,1900509,1671550,1591391
HEALTH,Maternal health outcomes,3418520,2962668,3164171,2744724,2538651,2375245
HEALTH,Vector-borne diseases,2215436,1999088,1984773,1798351,1656721,1541295
HEALTH,"Bacterial, parasitic and viral infections",6641156,5890923,5972633,5315835,4835205,4477585
HEALTH,Air quality and allergens,658119,598501,548320,501348,441973,413249
HEALTH,Respiratory outcomes,3340708,2739199,3147823,2586767,2530245,2409440
HEALTH,Mental health outcomes,10616918,9445522,9607225,8566548,7856832,7164835
HEALTH,Water quality and quantity,776619,699969,685246,627273,577755,543261
HEALTH,Social factors and vulnerability,17688600,15661736,15637294,13912329,13100562,12083329
HEALTH,Adaptation or mitigation,4648802,4424487,4114685,3938178,3269243,2990326
ADAPTATION,Adaptation,188414,166905,162795,147330,116937,111779
MERGED,CLIMATE,45334819,39955923,36041339,32581158,28068322,26071357
MERGED,HEALTH,73861918,61589356,65735875,54978437,53381211,49067910
MERGED,ADAPTATION,188465,166949,162795,147330,116937,111779
MERGED,(CLIMATE AND HEALTH) OR ADAPTATION,11442695,11055308,10058352,9753484,8303796,7852465
