prefix,term,df,ttf
wildfire,wildfire,31576,64550
wildfire,wildfires,23763,37982
wildfire,wildfires.the,113,114
wildfire,wildfire's,55,57
wildfire,wildfire’s,38,39
wildfire,wildfire.the,22,23
wildfire,wildfire3.0,21,25
wildfire,wildfire2.0,16,16
wildfire,wildfires.we,13,13
wildfire,wildfires.this,12,12
wildfire,wildfiresat,11,28
wildfire,wildfire2．0,10,12
wildfire,wildfires.in,8,8
wildfire,wildfireâ,8,12
wildfire,wildfire4.0,7,9
wildfire,wildfire.we,6,6
wildfire,wildfires.a,6,6
wildfire,wildfire.these,5,5
wildfire,wildfire.this,5,5
wildfire,wildfire3．0,5,7
wildfire,wildfire4．0,5,6
wildfire,wildfire.however,4,4
wildfire,wildfire.in,4,4
wildfire,wildfire.results,4,4
wildfire,wildfire.zip,4,4
wildfire,wildfires.however,4,4
wildfire,wildfires.to,4,4
wildfire,wildfire.a,3,3
wildfire,wildfire.during,3,3
wildfire,wildfire.unfortunately,3,3
wildfire,wildfire2,3,3
wildfire,wildfire5.0,3,3
wildfire,wildfiremanagement,3,3
wildfire,wildfirerisk,3,3
wildfire,wildfires.conclusions,3,3
wildfire,wildfires.these,3,3
wildfire,wildfiresmoke,3,6
wildfire,wildfire.additionally,2,2
wildfire,wildfire.although,2,2
wildfire,wildfire.area,2,2
wildfire,wildfire.as,2,2
wildfire,wildfire.but,2,2
wildfire,wildfire.i,2,2
wildfire,wildfire.la,2,2
wildfire,wildfire.methods,2,2
wildfire,wildfire.one,2,2
wildfire,wildfire.precise,2,2
wildfire,wildfire.then,2,2
wildfire,wildfire.using,2,2
wildfire,wildfire5.0software.through,2,2
wildfire,wildfire_forecasting,2,2
wildfire,wildfire_forest.r,2,2
wildfire,wildfiredb,2,4
wildfire,wildfiregpt,2,6
wildfire,wildfirenet,2,8
wildfire,wildfireor,2,2
wildfire,wildfires.fires,2,2
wildfire,wildfires.fundingaustralian,2,2
wildfire,wildfires.i,2,2
wildfire,wildfires.implications,2,2
wildfire,wildfires.methods,2,2
