,,Count (#nofilter),Count (w/ abstract),Count (excl xpac),"Count (w/ abstract, excl xpac)","Count (excl xpac, 1990–2024)","Count (excl xpac, 1990–2024, language:en)"
CLIMATE,General climate change,2165027,1867067,2157461,1862209,1779379,1676301
CLIMATE,Greenhouse gasses,4665853,3828669,4651522,3817293,3662581,3374431
CLIMATE,Climate variability,8822995,8055006,8793472,8026962,6200429,5867104
CLIMATE,Complex climate indices,2293514,1902583,2277647,1888903,1874173,1748971
CLIMATE,Fossil fuels,2735519,2250473,2723664,2241327,2229373,2069785
CLIMATE,Climate forcers production,15765693,13875471,15698603,13817603,12642958,11534734
CLIMATE,Mitigation,5701154,5042068,5681829,5032515,4301369,4041046
HEALTH,General health terms,19753359,16324544,19676645,16258409,15873888,14596665
HEALTH,General health outcomes,19673384,16608511,19409378,16352198,15990349,15000479
HEALTH,Nutrition/food quality,3473834,2845103,3466828,2839419,2899148,2615332
HEALTH,Cardio-vascular,4305658,3512347,4300295,3508257,3537917,3308573
HEALTH,Renal health,9001013,6943557,8989843,6936070,7379762,6973396
HEALTH,Effects of temperature extremes,1827404,1577742,1824295,1575154,1452470,1377754
HEALTH,Maternal health outcomes,2904803,2335736,2900348,2332297,2315308,2160567
HEALTH,Vector-borne diseases,1800360,1555078,1796513,1552028,1480575,1368335
HEALTH,"Bacterial, parasitic and viral infections",5433975,4477624,5423197,4468920,4349397,4003209
HEALTH,Air quality and allergens,489994,421682,488473,420331,390815,362917
HEALTH,Respiratory outcomes,2929290,2186583,2925633,2184106,2339144,2226762
HEALTH,Mental health outcomes,8777045,7399216,8760798,7385327,7108520,6438109
HEALTH,Water quality and quantity,623280,548356,621945,547257,518818,484571
HEALTH,Social factors and vulnerability,14520824,12378780,14476174,12339674,12060609,11064631
HEALTH,Adaptation or mitigation,3776109,3538967,3768058,3531651,2950104,2677200
ADAPTATION,Adaptation,152292,132482,151921,132202,107173,102069
MERGED,CLIMATE,33071520,28140245,32922903,28022139,25354445,23385284
MERGED,HEALTH,62041581,48103872,61662185,47758832,49775868,45608489
MERGED,ADAPTATION,152304,132494,151921,132202,107173,102069
MERGED,(CLIMATE AND HEALTH) OR ADAPTATION,8832408,8398938,8807603,8375446,7181282,6740491
