annotation_scheme_id,project_id,scheme_uri,scheme_name,label_key,value,concept_uri,concept_id,pref_label,definition,broader_uri,depth,sub_label_key,col_pipe,col_colon
6a87c376-24c8-4a89-8154-efc70e619f8b,db6ee519-afb5-4813-822b-bfbc7dfd2237,https://vocab.destiny-evidence.org/population-age,A.1 Population - Age,k_population-age,0,https://vocab.destiny-evidence.org/population-age/DSNY000254,DSNY000254,Adolescent (13-18 years),"Individuals aged 13 to 18 years undergoing puberty and adolescent development, with distinct biological vulnerabilities and behavioural risk profiles compared to younger children and adults.",,1,,k_population-age|0,k_population-age:0
6a87c376-24c8-4a89-8154-efc70e619f8b,db6ee519-afb5-4813-822b-bfbc7dfd2237,https://vocab.destiny-evidence.org/population-age,A.1 Population - Age,dsny000255_sub,0,https://vocab.destiny-evidence.org/population-age/DSNY000256,DSNY000256,Adult (19-44 years),"Adults aged 19 to 44 years, typically characterised by peak physical capacity, reproductive activity, and workforce participation.",https://vocab.destiny-evidence.org/population-age/DSNY000255,2,,dsny000255_sub|0,dsny000255_sub:0
6a87c376-24c8-4a89-8154-efc70e619f8b,db6ee519-afb5-4813-822b-bfbc7dfd2237,https://vocab.destiny-evidence.org/population-age,A.1 Population - Age,dsny000258_sub,0,https://vocab.destiny-evidence.org/population-age/DSNY000259,DSNY000259,Aged (65-78 years),"Older adults aged 65 to 78 years, often retaining significant functional capacity but with increasing chronic disease burden and growing vulnerability to environmental stressors.",https://vocab.destiny-evidence.org/population-age/DSNY000258,3,,dsny000258_sub|0,dsny000258_sub:0
6a87c376-24c8-4a89-8154-efc70e619f8b,db6ee519-afb5-4813-822b-bfbc7dfd2237,https://vocab.destiny-evidence.org/population-age,A.1 Population - Age,dsny000258_sub,1,https://vocab.destiny-evidence.org/population-age/DSNY000260,DSNY000260,Aged (80 years and older),"Individuals aged 80 years and older, the fastest-growing demographic in many populations, with the highest prevalence of frailty, multimorbidity, and vulnerability to adverse health events.",https://vocab.destiny-evidence.org/population-age/DSNY000258,3,,dsny000258_sub|1,dsny000258_sub:1
6a87c376-24c8-4a89-8154-efc70e619f8b,db6ee519-afb5-4813-822b-bfbc7dfd2237,https://vocab.destiny-evidence.org/population-age,A.1 Population - Age,dsny000255_sub,1,https://vocab.destiny-evidence.org/population-age/DSNY000258,DSNY000258,Aged (65 years and older),"Individuals aged 65 years and older, a broad group encompassing younger-old and oldest-old adults with increasing prevalence of chronic disease, frailty, and functional decline.",https://vocab.destiny-evidence.org/population-age/DSNY000255,2,dsny000258_sub,dsny000255_sub|1,dsny000255_sub:1
6a87c376-24c8-4a89-8154-efc70e619f8b,db6ee519-afb5-4813-822b-bfbc7dfd2237,https://vocab.destiny-evidence.org/population-age,A.1 Population - Age,dsny000255_sub,2,https://vocab.destiny-evidence.org/population-age/DSNY000257,DSNY000257,Middle aged (45-64 years),"Adults aged 45 to 64 years, a life stage associated with the onset of chronic non-communicable diseases and changing physiological risk profiles.",https://vocab.destiny-evidence.org/population-age/DSNY000255,2,,dsny000255_sub|2,dsny000255_sub:2
6a87c376-24c8-4a89-8154-efc70e619f8b,db6ee519-afb5-4813-822b-bfbc7dfd2237,https://vocab.destiny-evidence.org/population-age,A.1 Population - Age,k_population-age,1,https://vocab.destiny-evidence.org/population-age/DSNY000255,DSNY000255,Adult,"Individuals aged 19 years and older, encompassing young adults, middle-aged, and older adult sub-groups across the adult life course.",,1,dsny000255_sub,k_population-age|1,k_population-age:1
6a87c376-24c8-4a89-8154-efc70e619f8b,db6ee519-afb5-4813-822b-bfbc7dfd2237,https://vocab.destiny-evidence.org/population-age,A.1 Population - Age,k_population-age,2,https://vocab.destiny-evidence.org/population-age/DSNY000248,DSNY000248,All ages,"Studies or data that encompass individuals across all age groups without restriction, or where findings apply across the full life course.",,1,,k_population-age|2,k_population-age:2
6a87c376-24c8-4a89-8154-efc70e619f8b,db6ee519-afb5-4813-822b-bfbc7dfd2237,https://vocab.destiny-evidence.org/population-age,A.1 Population - Age,dsny000251_sub,0,https://vocab.destiny-evidence.org/population-age/DSNY000253,DSNY000253,Child (6-12 years),"Children aged 6 to 12 years in middle childhood, a period of continued physical growth, cognitive development, and increasing social independence.",https://vocab.destiny-evidence.org/population-age/DSNY000251,2,,dsny000251_sub|0,dsny000251_sub:0
6a87c376-24c8-4a89-8154-efc70e619f8b,db6ee519-afb5-4813-822b-bfbc7dfd2237,https://vocab.destiny-evidence.org/population-age,A.1 Population - Age,dsny000251_sub,1,https://vocab.destiny-evidence.org/population-age/DSNY000252,DSNY000252,Preschool child (2-5 years),"Children aged 2 to 5 years in the preschool developmental stage, characterised by rapid brain development, high activity levels, and reliance on caregivers for protection from environmental hazards.",https://vocab.destiny-evidence.org/population-age/DSNY000251,2,,dsny000251_sub|1,dsny000251_sub:1
